"Variable","Beta","SE","t_value","P_value","CI_low","CI_high"
"(Intercept)",3.70628898566043,0.359529462231076,10.3087211898043,1.15668855665604e-21,3.00161123968753,4.41096673163334
"DHA",-0.11240060573959,0.102412123899607,-1.0975322204017,0.273247062508822,-0.31312836858282,0.0883271571036408
"EPA",0.0642392222043657,0.101699274085207,0.631658610960625,0.528068103426029,-0.13509135500264,0.263569799411372
"HCys",0.0531268722554092,0.0373292922330292,1.42319527313197,0.15566919897583,-0.0200385405213281,0.126292285032146
"NPIK",-0.0220232432320011,0.0570154935578399,-0.386267694230507,0.699559195322556,-0.133773610605367,0.089727124141365
"NPIKTOT",0.0407661827587046,0.0572016458448361,0.712674996612616,0.476574461320433,-0.0713490430971742,0.152881408614583
"MH14ALCH",0.040701832759458,0.0369703032364889,1.10093315976067,0.271766307606346,-0.0317599615840603,0.113163627102976
"MH16SMOK",-0.0300815954887156,0.0368147128785966,-0.817107974953256,0.414484288029255,-0.102238432730765,0.0420752417533337
"AGE",0.0116733848994939,0.00498820192658241,2.34019894769813,0.0198974445432954,0.00189650912339242,0.0214502606755955
"SEX",-0.0301894010523136,0.0755849588893687,-0.399410166995008,0.689861668630484,-0.178335920475476,0.117957118370849
