"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","DX","Source"
"GO:0048812","neuron projection morphogenesis","134/1062","319/5701",0.420062695924765,2.25496933094829,11.0368237536334,1.61203005148307e-23,6.85757583900897e-20,6.43963583724025e-20,"NEFL/LRP2/SLITRK1/EFNA2/B4GALT6/SPAST/SPART/TNR/SMURF1/DNM2/SMAD4/IST1/SH3GL2/PRKG1/EFNB1/SPP1/FLRT2/FLRT3/ISLR2/SHANK1/SHANK3/CSF1R/EFNB2/EFNA3/GAP43/ADGRB3/NRP2/UNC5B/EPHA7/NLGN1/SLIT1/UNC5D/GDI1/MAPRE3/SLITRK6/DCLK1/SYT4/STMN1/EPHB1/GAS7/DSCAML1/SLIT2/HPRT1/PLXNA4/PLXND1/FN1/NCAM1/SEMA5B/SEMA6D/NECTIN1/SYT1/DCC/YWHAH/CHN1/ROBO2/NRXN1/EPHA6/DAG1/TWF2/PDLIM5/SRGAP2/EFNB3/EFNA4/EFNA5/NTRK3/ARTN/NBL1/NRP1/SEMA3A/CNTN4/CNTN5/LRP8/PTPN11/EPHA3/BSG/CHL1/EPHA5/PAK6/TGFB2/L1CAM/FLRT1/KIRREL3/PLXNC1/SLITRK5/BMPR2/NTRK2/UCHL1/EPHA10/EPHB6/NOTCH1/NOTCH3/NRCAM/UNC5C/ALCAM/RGMA/SEMA3G/SEMA4D/ROBO1/PTPRS/UBB/NTN1/NEGR1/SLITRK4/NFASC/EPHA4/NPTN/APLP1/PGRMC1/APLP2/SEMA4C/UNC5A/B3GNT2/DLG4/EPHB2/PTPRJ/UST/CTNNB1/TMEM106B/NOG/NEO1/PLXNA1/DSCAM/PLXNB2/EPHB3/ROBO4/PTPRD/PCDHAC2/LRRC4C/CDH11/ENAH/BRSK2/SEMA4B/NEFH/PITPNA",134,"CN","GO_BP"
"GO:0120039","plasma membrane bounded cell projection morphogenesis","135/1062","325/5701",0.415384615384615,2.22985658409387,10.9233040123683,3.86088664515902e-23,8.21210589425323e-20,7.71161306230446e-20,"NEFL/LRP2/SLITRK1/EFNA2/B4GALT6/SPAST/SPART/TNR/SMURF1/DNM2/SMAD4/IST1/SH3GL2/PRKG1/EFNB1/SPP1/FLRT2/FLRT3/ISLR2/SHANK1/SHANK3/CSF1R/EFNB2/EFNA3/GAP43/ADGRB3/NRP2/UNC5B/EPHA7/NLGN1/SLIT1/UNC5D/GDI1/MAPRE3/ENPP2/SLITRK6/DCLK1/SYT4/STMN1/EPHB1/GAS7/DSCAML1/SLIT2/HPRT1/PLXNA4/PLXND1/FN1/NCAM1/SEMA5B/SEMA6D/NECTIN1/SYT1/DCC/YWHAH/CHN1/ROBO2/NRXN1/EPHA6/DAG1/TWF2/PDLIM5/SRGAP2/EFNB3/EFNA4/EFNA5/NTRK3/ARTN/NBL1/NRP1/SEMA3A/CNTN4/CNTN5/LRP8/PTPN11/EPHA3/BSG/CHL1/EPHA5/PAK6/TGFB2/L1CAM/FLRT1/KIRREL3/PLXNC1/SLITRK5/BMPR2/NTRK2/UCHL1/EPHA10/EPHB6/NOTCH1/NOTCH3/NRCAM/UNC5C/ALCAM/RGMA/SEMA3G/SEMA4D/ROBO1/PTPRS/UBB/NTN1/NEGR1/SLITRK4/NFASC/EPHA4/NPTN/APLP1/PGRMC1/APLP2/SEMA4C/UNC5A/B3GNT2/DLG4/EPHB2/PTPRJ/UST/CTNNB1/TMEM106B/NOG/NEO1/PLXNA1/DSCAM/PLXNB2/EPHB3/ROBO4/PTPRD/PCDHAC2/LRRC4C/CDH11/ENAH/BRSK2/SEMA4B/NEFH/PITPNA",135,"CN","GO_BP"
"GO:0048858","cell projection morphogenesis","135/1062","327/5701",0.412844036697248,2.21621831752449,10.8373746006372,7.72045075555664e-23,1.09475991713793e-19,1.02803896902938e-19,"NEFL/LRP2/SLITRK1/EFNA2/B4GALT6/SPAST/SPART/TNR/SMURF1/DNM2/SMAD4/IST1/SH3GL2/PRKG1/EFNB1/SPP1/FLRT2/FLRT3/ISLR2/SHANK1/SHANK3/CSF1R/EFNB2/EFNA3/GAP43/ADGRB3/NRP2/UNC5B/EPHA7/NLGN1/SLIT1/UNC5D/GDI1/MAPRE3/ENPP2/SLITRK6/DCLK1/SYT4/STMN1/EPHB1/GAS7/DSCAML1/SLIT2/HPRT1/PLXNA4/PLXND1/FN1/NCAM1/SEMA5B/SEMA6D/NECTIN1/SYT1/DCC/YWHAH/CHN1/ROBO2/NRXN1/EPHA6/DAG1/TWF2/PDLIM5/SRGAP2/EFNB3/EFNA4/EFNA5/NTRK3/ARTN/NBL1/NRP1/SEMA3A/CNTN4/CNTN5/LRP8/PTPN11/EPHA3/BSG/CHL1/EPHA5/PAK6/TGFB2/L1CAM/FLRT1/KIRREL3/PLXNC1/SLITRK5/BMPR2/NTRK2/UCHL1/EPHA10/EPHB6/NOTCH1/NOTCH3/NRCAM/UNC5C/ALCAM/RGMA/SEMA3G/SEMA4D/ROBO1/PTPRS/UBB/NTN1/NEGR1/SLITRK4/NFASC/EPHA4/NPTN/APLP1/PGRMC1/APLP2/SEMA4C/UNC5A/B3GNT2/DLG4/EPHB2/PTPRJ/UST/CTNNB1/TMEM106B/NOG/NEO1/PLXNA1/DSCAM/PLXNB2/EPHB3/ROBO4/PTPRD/PCDHAC2/LRRC4C/CDH11/ENAH/BRSK2/SEMA4B/NEFH/PITPNA",135,"CN","GO_BP"
"GO:0007409","axonogenesis","108/1062","242/5701",0.446280991735537,2.39571368539011,10.6153660045914,1.69837335148483e-21,1.80622005930411e-18,1.69613864970656e-18,"NEFL/SLITRK1/EFNA2/B4GALT6/SPAST/SPART/TNR/SMURF1/DNM2/SMAD4/IST1/PRKG1/EFNB1/SPP1/FLRT2/FLRT3/ISLR2/CSF1R/EFNB2/EFNA3/GAP43/NRP2/UNC5B/EPHA7/SLIT1/UNC5D/GDI1/SLITRK6/DCLK1/STMN1/EPHB1/DSCAML1/SLIT2/PLXNA4/PLXND1/FN1/NCAM1/SEMA5B/SEMA6D/NECTIN1/DCC/CHN1/ROBO2/NRXN1/EPHA6/DAG1/TWF2/EFNB3/EFNA4/EFNA5/NTRK3/ARTN/NRP1/SEMA3A/CNTN4/CNTN5/PTPN11/EPHA3/BSG/CHL1/EPHA5/TGFB2/L1CAM/PLXNC1/SLITRK5/BMPR2/NTRK2/UCHL1/EPHA10/EPHB6/NOTCH1/NOTCH3/NRCAM/UNC5C/ALCAM/RGMA/SEMA3G/SEMA4D/ROBO1/PTPRS/NTN1/SLITRK4/NFASC/EPHA4/NPTN/APLP1/PGRMC1/APLP2/SEMA4C/UNC5A/B3GNT2/EPHB2/PTPRJ/UST/NOG/NEO1/DSCAM/PLXNB2/EPHB3/ROBO4/PCDHAC2/LRRC4C/CDH11/ENAH/BRSK2/SEMA4B/NEFH/PITPNA",108,"CN","GO_BP"
"GO:0048667","cell morphogenesis involved in neuron differentiation","120/1062","288/5701",0.416666666666667,2.23673885750157,10.3048752004983,9.90947321736289e-21,8.43097981333235e-18,7.91714754945098e-18,"NEFL/SLITRK1/EFNA2/B4GALT6/SPAST/SPART/TNR/SMURF1/DNM2/SMAD4/IST1/PRKG1/EFNB1/SPP1/FLRT2/FLRT3/ISLR2/SHANK1/SHANK3/CSF1R/EFNB2/EFNA3/GAP43/ADGRB3/NRP2/UNC5B/EPHA7/NLGN1/SLIT1/UNC5D/GDI1/MAPRE3/SLITRK6/DCLK1/STMN1/EPHB1/DSCAML1/SLIT2/HPRT1/PLXNA4/PLXND1/FN1/NCAM1/SEMA5B/SEMA6D/NECTIN1/DCC/YWHAH/CHN1/ROBO2/NRXN1/EPHA6/DAG1/TWF2/PDLIM5/EFNB3/EFNA4/EFNA5/NTRK3/ARTN/NRP1/SEMA3A/CNTN4/CNTN5/LRP8/PTPN11/EPHA3/BSG/CHL1/EPHA5/TGFB2/L1CAM/PLXNC1/SLITRK5/BMPR2/NTRK2/UCHL1/EPHA10/EPHB6/NOTCH1/NOTCH3/NRCAM/UNC5C/ALCAM/RGMA/SEMA3G/SEMA4D/ROBO1/PTPRS/NTN1/SLITRK4/NFASC/EPHA4/NPTN/APLP1/PGRMC1/APLP2/SEMA4C/UNC5A/B3GNT2/DLG4/EPHB2/PTPRJ/UST/TMEM106B/NOG/NEO1/DSCAM/PLXNB2/EPHB3/ROBO4/PTPRD/PCDHAC2/LRRC4C/CDH11/ENAH/BRSK2/SEMA4B/NEFH/PITPNA",120,"CN","GO_BP"
"GO:0061564","axon development","115/1062","272/5701",0.422794117647059,2.26963207599424,10.2657318766289,1.68417625744302e-20,1.1940809665271e-17,1.12130682403443e-17,"NEFL/SLITRK1/EFNA2/B4GALT6/SPAST/SPART/TNR/SMURF1/DNM2/SMAD4/IST1/PRKG1/EFNB1/SPP1/FLRT2/FLRT3/ISLR2/CSF1R/EFNB2/EFNA3/GAP43/NRP2/UNC5B/EPHA7/SLIT1/UNC5D/GDI1/SLITRK6/DCLK1/STMN1/EPHB1/DSCAML1/SLIT2/PLXNA4/PLXND1/FN1/NCAM1/SEMA5B/SEMA6D/RTN4RL1/NECTIN1/DCC/CHN1/ROBO2/NRXN1/EPHA6/DAG1/TWF2/CTNNA1/EFNB3/EFNA4/EFNA5/NTRK3/TNC/ARTN/NRP1/SEMA3A/CNTN4/CNTN5/PTPN11/EPHA3/BSG/CHL1/EPHA5/TGFB2/L1CAM/PLXNC1/SLITRK5/BMPR2/NTRK2/UCHL1/EPHA10/EPHB6/NOTCH1/NOTCH3/NRCAM/SCARF1/UNC5C/TNFRSF21/ALCAM/RGMA/SEMA3G/CRTAC1/SEMA4D/ROBO1/PTPRS/NCAM2/NTN1/SLITRK4/NFASC/EPHA4/NPTN/APLP1/PGRMC1/APLP2/SEMA4C/UNC5A/B3GNT2/EPHB2/PTPRJ/UST/NOG/NEO1/DSCAM/PLXNB2/EPHB3/ROBO4/PCDHAC2/LRRC4C/CDH11/ENAH/BRSK2/SEMA4B/NEFH/PITPNA",115,"CN","GO_BP"
"GO:0031175","neuron projection development","170/1062","497/5701",0.3420523138833,1.83619608422664,9.33480348897686,2.82986011755955e-18,1.71974642001404e-15,1.61493520994564e-15,"NEFL/LRP2/SLITRK1/EFNA2/B4GALT6/SPAST/STMN2/SPART/ADGRF1/TNR/SPOCK1/SMURF1/DNM2/SMAD4/IST1/SH3GL2/HERC1/PRKG1/EFNB1/SPP1/FLRT2/FLRT3/ISLR2/SHANK1/SHANK3/NCK2/CSF1R/SFRP1/IL15RA/MAGI2/ITSN1/EFNB2/EFNA3/GAP43/ADGRB3/DDR2/NRP2/UNC5B/LRP12/EPHA7/NLGN1/AKT1/SLIT1/UNC5D/GDI1/MAPRE3/SLITRK6/DCLK1/SYT4/STMN1/EPHB1/GAS7/FKBP4/DSCAML1/SLIT2/HPRT1/PLXNA4/PLXND1/EFHD1/FN1/GFAP/NCAM1/CIB1/SEMA5B/SEMA6D/RTN4RL1/NECTIN1/DBNDD2/SYT1/DCC/BMP5/YWHAH/CHN1/ROBO2/NRXN1/EPHA6/FZD1/DAG1/TWF2/PDLIM5/EHD1/CTNNA1/SRGAP2/EFNB3/EFNA4/EFNA5/NTRK3/TNC/ARTN/NBL1/NRP1/SEMA3A/CNTN4/CNTN5/GPC2/LRP8/PTPN11/EPHA3/BSG/CHL1/EPHA5/PAK6/TGFB2/L1CAM/FLRT1/KIRREL3/PLXNC1/SLITRK5/BMPR2/NTRK2/CRK/UCHL1/EPHA10/EPHB6/NOTCH1/NOTCH3/NRCAM/SCARF1/UNC5C/TNFRSF21/ALCAM/RGMA/FGFR1/SEMA3G/CRTAC1/SEMA4D/ROBO1/PTPRS/NCAM2/UBB/NTN1/NEGR1/SLITRK4/VAPA/NFASC/STX3/EPHA4/NPTN/APLP1/PGRMC1/APLP2/SEMA4C/NDRG4/UNC5A/B3GNT2/STMN3/DLG4/EPHB2/PTPRJ/UST/CTNNB1/TMEM106B/NOG/NEO1/PLXNA1/DSCAM/PLXNB2/EPHB3/MANF/ROBO4/PTPRD/PCDHAC2/LRRC4C/CDH11/ENAH/BRSK2/SEMA4B/CRKL/NEFH/PITPNA",170,"CN","GO_BP"
"GO:0097485","neuron projection guidance","73/1062","147/5701",0.496598639455782,2.66582753628758,9.78978753092232,5.50337421450814e-18,2.9264192385647e-15,2.74806646632347e-15,"EFNA2/TNR/SMAD4/EFNB1/FLRT2/FLRT3/CSF1R/EFNB2/EFNA3/GAP43/NRP2/UNC5B/EPHA7/SLIT1/UNC5D/EPHB1/DSCAML1/SLIT2/PLXNA4/NCAM1/SEMA5B/SEMA6D/NECTIN1/DCC/CHN1/ROBO2/NRXN1/EPHA6/DAG1/EFNB3/EFNA4/EFNA5/ARTN/NRP1/SEMA3A/CNTN4/CNTN5/EPHA3/BSG/CHL1/EPHA5/TGFB2/L1CAM/BMPR2/EPHA10/EPHB6/NOTCH1/NOTCH3/NRCAM/UNC5C/ALCAM/SEMA3G/SEMA4D/ROBO1/NTN1/NFASC/EPHA4/NPTN/PGRMC1/SEMA4C/UNC5A/B3GNT2/EPHB2/PTPRJ/NOG/NEO1/PLXNA1/DSCAM/EPHB3/ROBO4/PCDHAC2/ENAH/SEMA4B",73,"CN","GO_BP"
"GO:0007411","axon guidance","72/1062","146/5701",0.493150684931507,2.64731831901556,9.64715872923626,1.53962712057661e-17,7.27730418992545e-15,6.83378353519093e-15,"EFNA2/TNR/SMAD4/EFNB1/FLRT2/FLRT3/CSF1R/EFNB2/EFNA3/GAP43/NRP2/UNC5B/EPHA7/SLIT1/UNC5D/EPHB1/DSCAML1/SLIT2/PLXNA4/NCAM1/SEMA5B/SEMA6D/NECTIN1/DCC/CHN1/ROBO2/NRXN1/EPHA6/DAG1/EFNB3/EFNA4/EFNA5/ARTN/NRP1/SEMA3A/CNTN4/CNTN5/EPHA3/BSG/CHL1/EPHA5/TGFB2/L1CAM/BMPR2/EPHA10/EPHB6/NOTCH1/NOTCH3/NRCAM/UNC5C/ALCAM/SEMA3G/SEMA4D/ROBO1/NTN1/NFASC/EPHA4/NPTN/PGRMC1/SEMA4C/UNC5A/B3GNT2/EPHB2/PTPRJ/NOG/NEO1/DSCAM/EPHB3/ROBO4/PCDHAC2/ENAH/SEMA4B",72,"CN","GO_BP"
"GO:0000902","cell morphogenesis","157/1062","458/5701",0.342794759825328,1.84018166267815,8.97022855584625,5.65857997959518e-17,2.40715992331979e-14,2.26045379184881e-14,"NEFL/LRP2/SLITRK1/EFNA2/B4GALT6/SPAST/COL6A1/SPART/TNR/SMURF1/DNM2/MET/SMAD4/IST1/CLIC4/SH3GL2/PRKG1/EFNB1/SPP1/FLRT2/FLRT3/ISLR2/SHANK1/SHANK3/PARVA/CSF1R/EFNB2/EFNA3/GAP43/ADGRB3/NRP2/UNC5B/EPHA7/NLGN1/SLIT1/UNC5D/GDI1/MAPRE3/ENPP2/SLITRK6/DCLK1/SYT4/STMN1/EPHB1/GAS7/PALM/RDX/DSCAML1/SLIT2/HPRT1/PLXNA4/PLXND1/FN1/NCAM1/CIB1/SEMA5B/SEMA6D/NECTIN1/SYT1/DCC/PSMB10/COL18A1/YWHAH/PALMD/CHN1/ROBO2/NRXN1/EPHA6/DAG1/TWF2/TBC1D20/PDLIM5/SRGAP2/EFNB3/LIMD1/EFNA4/EFNA5/NTRK3/ARTN/NBL1/NRP1/SEMA3A/CNTN4/CNTN5/LRP8/PTPN11/EPHA3/BSG/CHL1/EPHA5/PAK6/TGFB2/L1CAM/CLU/FLRT1/KIRREL3/PLXNC1/SLITRK5/EPHA2/BMPR2/NTRK2/CRK/UCHL1/EPHA10/EPHB6/NOTCH1/NOTCH3/NRCAM/UNC5C/CCL11/ALCAM/RGMA/FAM171A1/SEMA3G/C1GALT1C1/SEMA4D/ROBO1/ALDOA/PTPRS/UBB/NTN1/NEGR1/SLITRK4/NFASC/EPHA4/NPTN/APLP1/PGRMC1/APLP2/SEMA4C/CDH7/UNC5A/B3GNT2/DLG4/EPHB2/PTPRJ/UST/CTNNB1/TMEM106B/NOG/BAMBI/NEO1/PLXNA1/DSCAM/PLXNB2/EPHB3/ROBO4/PTPRD/PCDHAC2/LRRC4C/CDH11/EZR/ENAH/BRSK2/SEMA4B/NEFH/PITPNA",157,"CN","GO_BP"
