"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000902","cell morphogenesis","322/3128","458/5698",0.703056768558952,1.28069612124326,6.91024471079642,1.48251613472588e-12,6.53641363800639e-09,6.27494460813973e-09,"CUL3/ILK/NEFL/CRYAA/BMPR1B/SLITRK3/MFAP2/LRP2/APLP2/SLITRK1/ADAM7/EFNA2/B4GALT6/SPAST/SPG21/TRIO/COL6A1/SPART/TBCE/CDH15/FLNA/TNR/PTK2B/SMURF1/DNM2/EVL/CRABP2/MET/PTPN11/DDR1/SMAD4/IST1/CLIC4/SH3GL2/RHOG/OPHN1/DPYSL5/ITGB2/ARHGEF2/PRKN/PRKG1/S100A6/EFNB1/NEGR1/SPP1/FLRT2/FLRT3/ISLR2/SHANK1/SHANK3/PARVA/ITPKA/UNC93B1/ARHGEF25/CERT1/DVL2/CSF1R/KLK8/EFNA4/TGFB1/SPARC/EFNB2/EFNA3/GAP43/ADGRB3/NRP2/UNC5B/ID2/HEXB/EPHA7/NLGN1/SLIT1/BRAF/EPHA4/ROBO4/UNC5D/NRXN3/GDI1/MAPRE3/ENPP2/SEMA4A/SLITRK6/PLXNB3/DCLK1/SYT4/STMN1/NLGN3/EPHB1/GAS7/PALM/RDX/DSCAML1/SLIT2/VLDLR/RAC2/HPRT1/CDH12/LRP4/PLXNA4/PLXND1/IHH/FN1/EFNA1/AMIGO1/NCAM1/CIB1/LRATD1/IMPACT/BAMBI/IL1RAPL1/SEMA5B/SEMA6D/SEMA4G/EPHA8/CNTN6/MAG/NECTIN1/SYT1/BCL7A/ARC/FBLIM1/SLITRK2/DCC/ADGRB1/RELN/RHOQ/PSMB10/COL18A1/YWHAH/PALMD/CHN1/ROBO2/NRXN1/EPHA6/SPI1/STK4/CCL7/DAG1/LMO4/GAS2/TWF2/CDC42EP4/NDEL1/DMTN/TBC1D20/PDLIM5/GSK3B/APOE/BDNF/FGD2/CRPPA/FGF8/RILPL1/BIN3/RILPL2/CFDP1/KIT/PACSIN2/GFRA3/HDAC6/DIAPH1/SRGAP2/EFNB3/LIMD1/YAP1/NFIA/HEXA/NEUROG3/VEGFA/EFNA5/ERBB2/PRKCZ/NTRK3/EGFR/HGF/PECAM1/SOD1/SPINT2/MAP2K1/ARTN/NBL1/PLA2G10/BMP7/PTN/NRP1/RET/SEMA3A/CNTN2/CNTN4/CNTN5/LRP8/MATN2/NTN4/CAMK2B/LYN/BCL2/EPHA3/POSTN/NTRK1/BSG/CDH6/CHL1/MAP2K2/KDR/CDH2/EPHA5/FGFR2/FGR/FYN/PRKCQ/PAK6/PTEN/CCL13/NTF4/TGFB2/CFL1/L1CAM/PTPN6/BOC/CLEC1B/CLU/FLRT1/KIRREL3/PLXNC1/SLITRK5/EPHA2/BMPR2/NTRK2/STC1/CRK/DBNL/MAPK14/UCHL1/RB1/EPHA10/EPHB6/RTN4R/NOTCH1/NOTCH3/NRCAM/SEMA6B/SEMA6A/UNC5C/CCL11/CPNE1/SEMA3E/ALCAM/RGMA/SRC/RYK/FAM171A1/SEMA3G/NTNG1/OLFM1/C1GALT1C1/SEMA4D/ROBO1/NGF/GDNF/NOG/ALDOA/NELL2/PTPRS/ANOS1/UBB/NTN1/CCK/CNTNAP2/COL25A1/SEMA7A/MPIG6B/DRAXIN/SLITRK4/NFASC/NPTN/APLP1/COCH/TPM4/ITGB6/LIF/PGRMC1/ST8SIA2/SEMA4C/CDH7/UNC5A/B3GNT2/DLG4/EPHB2/PTPRJ/SULT4A1/UST/CDHR1/NOTCH2/CTNNB1/TMEM106B/NEO1/ADAM17/PLXNA1/SYT17/SLC26A5/DSCAM/PLXNB2/EPHB3/NPTX1/PTPRD/FSTL4/PCDHAC2/LRRC4C/ID1/PTK7/LST1/CDH11/EZR/ENAH/VASP/BRSK2/SEMA4B/CTNNA2/RAP2A/NEFH/SEMA4F/PITPNA",322
"GO:0048812","neuron projection morphogenesis","233/3128","319/5698",0.730407523510972,1.33051856424729,6.70240006430228,5.38132942092861e-12,1.1441551930592e-08,1.09838680003606e-08,"NEFL/BMPR1B/SLITRK3/LRP2/APLP2/SLITRK1/EFNA2/B4GALT6/SPAST/SPG21/TRIO/SPART/TBCE/TNR/SMURF1/DNM2/EVL/CRABP2/PTPN11/DDR1/SMAD4/IST1/SH3GL2/OPHN1/DPYSL5/PRKN/PRKG1/S100A6/EFNB1/NEGR1/SPP1/FLRT2/FLRT3/ISLR2/SHANK1/SHANK3/ITPKA/ARHGEF25/DVL2/CSF1R/KLK8/EFNA4/EFNB2/EFNA3/GAP43/ADGRB3/NRP2/UNC5B/EPHA7/NLGN1/SLIT1/BRAF/EPHA4/ROBO4/UNC5D/NRXN3/GDI1/MAPRE3/SEMA4A/SLITRK6/PLXNB3/DCLK1/SYT4/STMN1/NLGN3/EPHB1/GAS7/DSCAML1/SLIT2/VLDLR/HPRT1/LRP4/PLXNA4/PLXND1/FN1/EFNA1/AMIGO1/NCAM1/IMPACT/IL1RAPL1/SEMA5B/SEMA6D/SEMA4G/EPHA8/CNTN6/MAG/NECTIN1/SYT1/BCL7A/ARC/SLITRK2/DCC/ADGRB1/RELN/YWHAH/CHN1/ROBO2/NRXN1/EPHA6/DAG1/LMO4/TWF2/NDEL1/PDLIM5/GSK3B/APOE/BDNF/CRPPA/FGF8/GFRA3/HDAC6/SRGAP2/EFNB3/NEUROG3/VEGFA/EFNA5/ERBB2/PRKCZ/NTRK3/MAP2K1/ARTN/NBL1/PLA2G10/BMP7/PTN/NRP1/RET/SEMA3A/CNTN2/CNTN4/CNTN5/LRP8/MATN2/NTN4/CAMK2B/BCL2/EPHA3/POSTN/NTRK1/BSG/CHL1/MAP2K2/EPHA5/FGFR2/FYN/PRKCQ/PAK6/PTEN/NTF4/TGFB2/CFL1/L1CAM/BOC/FLRT1/KIRREL3/PLXNC1/SLITRK5/BMPR2/NTRK2/DBNL/UCHL1/EPHA10/EPHB6/RTN4R/NOTCH1/NOTCH3/NRCAM/SEMA6B/SEMA6A/UNC5C/CPNE1/SEMA3E/ALCAM/RGMA/RYK/SEMA3G/NTNG1/OLFM1/SEMA4D/ROBO1/NGF/GDNF/NOG/NELL2/PTPRS/ANOS1/UBB/NTN1/CCK/CNTNAP2/COL25A1/SEMA7A/DRAXIN/SLITRK4/NFASC/NPTN/APLP1/PGRMC1/ST8SIA2/SEMA4C/UNC5A/B3GNT2/DLG4/EPHB2/PTPRJ/SULT4A1/UST/NOTCH2/CTNNB1/TMEM106B/NEO1/ADAM17/PLXNA1/SYT17/DSCAM/PLXNB2/EPHB3/NPTX1/PTPRD/FSTL4/PCDHAC2/LRRC4C/PTK7/CDH11/ENAH/VASP/BRSK2/SEMA4B/CTNNA2/RAP2A/NEFH/SEMA4F/PITPNA",233
"GO:0007409","axonogenesis","183/3128","242/5698",0.756198347107438,1.37749941873983,6.6202853608507,7.78513399677384e-12,1.1441551930592e-08,1.09838680003606e-08,"NEFL/BMPR1B/SLITRK3/APLP2/SLITRK1/EFNA2/B4GALT6/SPAST/SPG21/TRIO/SPART/TBCE/TNR/SMURF1/DNM2/EVL/CRABP2/PTPN11/SMAD4/IST1/OPHN1/DPYSL5/PRKG1/S100A6/EFNB1/SPP1/FLRT2/FLRT3/ISLR2/ARHGEF25/CSF1R/EFNA4/EFNB2/EFNA3/GAP43/NRP2/UNC5B/EPHA7/SLIT1/BRAF/EPHA4/ROBO4/UNC5D/NRXN3/GDI1/SEMA4A/SLITRK6/PLXNB3/DCLK1/STMN1/NLGN3/EPHB1/DSCAML1/SLIT2/LRP4/PLXNA4/PLXND1/FN1/EFNA1/AMIGO1/NCAM1/SEMA5B/SEMA6D/SEMA4G/EPHA8/CNTN6/MAG/NECTIN1/SLITRK2/DCC/ADGRB1/RELN/CHN1/ROBO2/NRXN1/EPHA6/DAG1/LMO4/TWF2/NDEL1/GSK3B/APOE/BDNF/CRPPA/FGF8/GFRA3/HDAC6/EFNB3/VEGFA/EFNA5/ERBB2/NTRK3/MAP2K1/ARTN/PLA2G10/BMP7/NRP1/RET/SEMA3A/CNTN2/CNTN4/CNTN5/MATN2/NTN4/BCL2/EPHA3/NTRK1/BSG/CHL1/MAP2K2/EPHA5/FGFR2/FYN/PRKCQ/PTEN/TGFB2/L1CAM/BOC/PLXNC1/SLITRK5/BMPR2/NTRK2/UCHL1/EPHA10/EPHB6/RTN4R/NOTCH1/NOTCH3/NRCAM/SEMA6B/SEMA6A/UNC5C/SEMA3E/ALCAM/RGMA/RYK/SEMA3G/NTNG1/OLFM1/SEMA4D/ROBO1/NGF/GDNF/NOG/NELL2/PTPRS/ANOS1/NTN1/CCK/COL25A1/SEMA7A/DRAXIN/SLITRK4/NFASC/NPTN/APLP1/PGRMC1/SEMA4C/UNC5A/B3GNT2/EPHB2/PTPRJ/UST/NOTCH2/NEO1/ADAM17/DSCAM/PLXNB2/EPHB3/NPTX1/FSTL4/PCDHAC2/LRRC4C/PTK7/CDH11/ENAH/VASP/BRSK2/SEMA4B/CTNNA2/NEFH/SEMA4F/PITPNA",183
"GO:0120039","plasma membrane bounded cell projection morphogenesis","235/3128","325/5698",0.723076923076923,1.31716506000393,6.49543914637973,2.43311741223163e-11,2.66154008123198e-08,2.55507339452407e-08,"NEFL/BMPR1B/SLITRK3/LRP2/APLP2/SLITRK1/EFNA2/B4GALT6/SPAST/SPG21/TRIO/SPART/TBCE/TNR/SMURF1/DNM2/EVL/CRABP2/PTPN11/DDR1/SMAD4/IST1/SH3GL2/OPHN1/DPYSL5/PRKN/PRKG1/S100A6/EFNB1/NEGR1/SPP1/FLRT2/FLRT3/ISLR2/SHANK1/SHANK3/ITPKA/ARHGEF25/DVL2/CSF1R/KLK8/EFNA4/EFNB2/EFNA3/GAP43/ADGRB3/NRP2/UNC5B/EPHA7/NLGN1/SLIT1/BRAF/EPHA4/ROBO4/UNC5D/NRXN3/GDI1/MAPRE3/ENPP2/SEMA4A/SLITRK6/PLXNB3/DCLK1/SYT4/STMN1/NLGN3/EPHB1/GAS7/DSCAML1/SLIT2/VLDLR/HPRT1/LRP4/PLXNA4/PLXND1/FN1/EFNA1/AMIGO1/NCAM1/IMPACT/IL1RAPL1/SEMA5B/SEMA6D/SEMA4G/EPHA8/CNTN6/MAG/NECTIN1/SYT1/BCL7A/ARC/SLITRK2/DCC/ADGRB1/RELN/YWHAH/CHN1/ROBO2/NRXN1/EPHA6/DAG1/LMO4/TWF2/NDEL1/PDLIM5/GSK3B/APOE/BDNF/CRPPA/FGF8/GFRA3/HDAC6/SRGAP2/EFNB3/NEUROG3/VEGFA/EFNA5/ERBB2/PRKCZ/NTRK3/MAP2K1/ARTN/NBL1/PLA2G10/BMP7/PTN/NRP1/RET/SEMA3A/CNTN2/CNTN4/CNTN5/LRP8/MATN2/NTN4/CAMK2B/BCL2/EPHA3/POSTN/NTRK1/BSG/CHL1/MAP2K2/EPHA5/FGFR2/FYN/PRKCQ/PAK6/PTEN/NTF4/TGFB2/CFL1/L1CAM/BOC/FLRT1/KIRREL3/PLXNC1/SLITRK5/BMPR2/NTRK2/DBNL/UCHL1/EPHA10/EPHB6/RTN4R/NOTCH1/NOTCH3/NRCAM/SEMA6B/SEMA6A/UNC5C/CPNE1/SEMA3E/ALCAM/RGMA/SRC/RYK/SEMA3G/NTNG1/OLFM1/SEMA4D/ROBO1/NGF/GDNF/NOG/NELL2/PTPRS/ANOS1/UBB/NTN1/CCK/CNTNAP2/COL25A1/SEMA7A/DRAXIN/SLITRK4/NFASC/NPTN/APLP1/PGRMC1/ST8SIA2/SEMA4C/UNC5A/B3GNT2/DLG4/EPHB2/PTPRJ/SULT4A1/UST/NOTCH2/CTNNB1/TMEM106B/NEO1/ADAM17/PLXNA1/SYT17/DSCAM/PLXNB2/EPHB3/NPTX1/PTPRD/FSTL4/PCDHAC2/LRRC4C/PTK7/CDH11/ENAH/VASP/BRSK2/SEMA4B/CTNNA2/RAP2A/NEFH/SEMA4F/PITPNA",235
"GO:0048858","cell projection morphogenesis","236/3128","327/5698",0.7217125382263,1.31467968120635,6.46554177228341,3.01830356229528e-11,2.66154008123198e-08,2.55507339452407e-08,"NEFL/BMPR1B/SLITRK3/LRP2/APLP2/SLITRK1/EFNA2/B4GALT6/SPAST/SPG21/TRIO/SPART/TBCE/TNR/SMURF1/DNM2/EVL/CRABP2/PTPN11/DDR1/SMAD4/IST1/SH3GL2/OPHN1/DPYSL5/PRKN/PRKG1/S100A6/EFNB1/NEGR1/SPP1/FLRT2/FLRT3/ISLR2/SHANK1/SHANK3/ITPKA/ARHGEF25/DVL2/CSF1R/KLK8/EFNA4/EFNB2/EFNA3/GAP43/ADGRB3/NRP2/UNC5B/EPHA7/NLGN1/SLIT1/BRAF/EPHA4/ROBO4/UNC5D/NRXN3/GDI1/MAPRE3/ENPP2/SEMA4A/SLITRK6/PLXNB3/DCLK1/SYT4/STMN1/NLGN3/EPHB1/GAS7/DSCAML1/SLIT2/VLDLR/HPRT1/LRP4/PLXNA4/PLXND1/FN1/EFNA1/AMIGO1/NCAM1/IMPACT/IL1RAPL1/SEMA5B/SEMA6D/SEMA4G/EPHA8/CNTN6/MAG/NECTIN1/SYT1/BCL7A/ARC/SLITRK2/DCC/ADGRB1/RELN/YWHAH/CHN1/ROBO2/NRXN1/EPHA6/DAG1/LMO4/TWF2/NDEL1/PDLIM5/GSK3B/APOE/BDNF/CRPPA/FGF8/PACSIN2/GFRA3/HDAC6/SRGAP2/EFNB3/NEUROG3/VEGFA/EFNA5/ERBB2/PRKCZ/NTRK3/MAP2K1/ARTN/NBL1/PLA2G10/BMP7/PTN/NRP1/RET/SEMA3A/CNTN2/CNTN4/CNTN5/LRP8/MATN2/NTN4/CAMK2B/BCL2/EPHA3/POSTN/NTRK1/BSG/CHL1/MAP2K2/EPHA5/FGFR2/FYN/PRKCQ/PAK6/PTEN/NTF4/TGFB2/CFL1/L1CAM/BOC/FLRT1/KIRREL3/PLXNC1/SLITRK5/BMPR2/NTRK2/DBNL/UCHL1/EPHA10/EPHB6/RTN4R/NOTCH1/NOTCH3/NRCAM/SEMA6B/SEMA6A/UNC5C/CPNE1/SEMA3E/ALCAM/RGMA/SRC/RYK/SEMA3G/NTNG1/OLFM1/SEMA4D/ROBO1/NGF/GDNF/NOG/NELL2/PTPRS/ANOS1/UBB/NTN1/CCK/CNTNAP2/COL25A1/SEMA7A/DRAXIN/SLITRK4/NFASC/NPTN/APLP1/PGRMC1/ST8SIA2/SEMA4C/UNC5A/B3GNT2/DLG4/EPHB2/PTPRJ/SULT4A1/UST/NOTCH2/CTNNB1/TMEM106B/NEO1/ADAM17/PLXNA1/SYT17/DSCAM/PLXNB2/EPHB3/NPTX1/PTPRD/FSTL4/PCDHAC2/LRRC4C/PTK7/CDH11/ENAH/VASP/BRSK2/SEMA4B/CTNNA2/RAP2A/NEFH/SEMA4F/PITPNA",236
"GO:0097485","neuron projection guidance","118/3128","147/5698",0.802721088435374,1.46224576787237,6.26377166089104,6.15064838150488e-11,4.51970145234251e-08,4.33890476175985e-08,"BMPR1B/EFNA2/TRIO/TNR/EVL/SMAD4/OPHN1/DPYSL5/EFNB1/FLRT2/FLRT3/ARHGEF25/CSF1R/EFNA4/EFNB2/EFNA3/GAP43/NRP2/UNC5B/EPHA7/SLIT1/EPHA4/ROBO4/UNC5D/NRXN3/SEMA4A/EPHB1/DSCAML1/SLIT2/PLXNA4/EFNA1/NCAM1/SEMA5B/SEMA6D/SEMA4G/EPHA8/CNTN6/NECTIN1/DCC/RELN/CHN1/ROBO2/NRXN1/EPHA6/DAG1/LMO4/BDNF/CRPPA/FGF8/GFRA3/HDAC6/EFNB3/VEGFA/EFNA5/ERBB2/ARTN/PLA2G10/BMP7/NRP1/RET/SEMA3A/CNTN2/CNTN4/CNTN5/MATN2/NTN4/EPHA3/NTRK1/BSG/CHL1/EPHA5/FYN/PRKCQ/TGFB2/L1CAM/BOC/BMPR2/EPHA10/EPHB6/NOTCH1/NOTCH3/NRCAM/SEMA6B/SEMA6A/UNC5C/SEMA3E/ALCAM/RYK/SEMA3G/SEMA4D/ROBO1/GDNF/NOG/NELL2/ANOS1/NTN1/SEMA7A/DRAXIN/NFASC/NPTN/PGRMC1/SEMA4C/UNC5A/B3GNT2/EPHB2/PTPRJ/NOTCH2/NEO1/ADAM17/PLXNA1/DSCAM/EPHB3/PCDHAC2/PTK7/ENAH/VASP/SEMA4B/SEMA4F",118
"GO:0048667","cell morphogenesis involved in neuron differentiation","210/3128","288/5698",0.729166666666667,1.3282582054561,6.30671379208494,8.46324685552777e-11,5.0344747393111e-08,4.83308613404876e-08,"NEFL/BMPR1B/SLITRK3/APLP2/SLITRK1/EFNA2/B4GALT6/SPAST/SPG21/TRIO/SPART/TBCE/TNR/SMURF1/DNM2/EVL/CRABP2/PTPN11/SMAD4/IST1/OPHN1/DPYSL5/PRKG1/S100A6/EFNB1/SPP1/FLRT2/FLRT3/ISLR2/SHANK1/SHANK3/ITPKA/ARHGEF25/CSF1R/EFNA4/EFNB2/EFNA3/GAP43/ADGRB3/NRP2/UNC5B/ID2/EPHA7/NLGN1/SLIT1/BRAF/EPHA4/ROBO4/UNC5D/NRXN3/GDI1/MAPRE3/SEMA4A/SLITRK6/PLXNB3/DCLK1/STMN1/NLGN3/EPHB1/DSCAML1/SLIT2/VLDLR/HPRT1/LRP4/PLXNA4/PLXND1/FN1/EFNA1/AMIGO1/NCAM1/IL1RAPL1/SEMA5B/SEMA6D/SEMA4G/EPHA8/CNTN6/MAG/NECTIN1/ARC/SLITRK2/DCC/ADGRB1/RELN/YWHAH/CHN1/ROBO2/NRXN1/EPHA6/DAG1/LMO4/TWF2/NDEL1/PDLIM5/GSK3B/APOE/BDNF/CRPPA/FGF8/GFRA3/HDAC6/EFNB3/HEXA/NEUROG3/VEGFA/EFNA5/ERBB2/NTRK3/SOD1/MAP2K1/ARTN/PLA2G10/BMP7/PTN/NRP1/RET/SEMA3A/CNTN2/CNTN4/CNTN5/LRP8/MATN2/NTN4/CAMK2B/BCL2/EPHA3/NTRK1/BSG/CHL1/MAP2K2/EPHA5/FGFR2/FYN/PRKCQ/PTEN/TGFB2/CFL1/L1CAM/BOC/PLXNC1/SLITRK5/BMPR2/NTRK2/UCHL1/RB1/EPHA10/EPHB6/RTN4R/NOTCH1/NOTCH3/NRCAM/SEMA6B/SEMA6A/UNC5C/SEMA3E/ALCAM/RGMA/RYK/SEMA3G/NTNG1/OLFM1/SEMA4D/ROBO1/NGF/GDNF/NOG/NELL2/PTPRS/ANOS1/NTN1/CCK/COL25A1/SEMA7A/DRAXIN/SLITRK4/NFASC/NPTN/APLP1/PGRMC1/SEMA4C/UNC5A/B3GNT2/DLG4/EPHB2/PTPRJ/SULT4A1/UST/CDHR1/NOTCH2/TMEM106B/NEO1/ADAM17/DSCAM/PLXNB2/EPHB3/NPTX1/PTPRD/FSTL4/PCDHAC2/LRRC4C/PTK7/CDH11/ENAH/VASP/BRSK2/SEMA4B/CTNNA2/RAP2A/NEFH/SEMA4F/PITPNA",210
"GO:0007411","axon guidance","117/3128","146/5698",0.801369863013699,1.45978436043864,6.20863050061224,9.13490540133564e-11,5.0344747393111e-08,4.83308613404876e-08,"BMPR1B/EFNA2/TRIO/TNR/EVL/SMAD4/OPHN1/DPYSL5/EFNB1/FLRT2/FLRT3/ARHGEF25/CSF1R/EFNA4/EFNB2/EFNA3/GAP43/NRP2/UNC5B/EPHA7/SLIT1/EPHA4/ROBO4/UNC5D/NRXN3/SEMA4A/EPHB1/DSCAML1/SLIT2/PLXNA4/EFNA1/NCAM1/SEMA5B/SEMA6D/SEMA4G/EPHA8/CNTN6/NECTIN1/DCC/RELN/CHN1/ROBO2/NRXN1/EPHA6/DAG1/LMO4/BDNF/CRPPA/FGF8/GFRA3/HDAC6/EFNB3/VEGFA/EFNA5/ERBB2/ARTN/PLA2G10/BMP7/NRP1/RET/SEMA3A/CNTN2/CNTN4/CNTN5/MATN2/NTN4/EPHA3/NTRK1/BSG/CHL1/EPHA5/FYN/PRKCQ/TGFB2/L1CAM/BOC/BMPR2/EPHA10/EPHB6/NOTCH1/NOTCH3/NRCAM/SEMA6B/SEMA6A/UNC5C/SEMA3E/ALCAM/RYK/SEMA3G/SEMA4D/ROBO1/GDNF/NOG/NELL2/ANOS1/NTN1/SEMA7A/DRAXIN/NFASC/NPTN/PGRMC1/SEMA4C/UNC5A/B3GNT2/EPHB2/PTPRJ/NOTCH2/NEO1/ADAM17/DSCAM/EPHB3/PCDHAC2/PTK7/ENAH/VASP/SEMA4B/SEMA4F",117
"GO:0061564","axon development","199/3128","272/5698",0.731617647058823,1.33272293891981,6.20322053050379,1.66436425511925e-10,8.15353555646753e-08,7.82737856120995e-08,"NEFL/BMPR1B/SLITRK3/APLP2/SLITRK1/EFNA2/B4GALT6/SPAST/SPG21/TRIO/SPART/TBCE/TNR/SMURF1/DNM2/EVL/CRABP2/JAK2/PTPN11/DDR1/SMAD4/IST1/OPHN1/DPYSL5/PRKG1/S100A6/EFNB1/SPP1/FLRT2/FLRT3/ISLR2/ARHGEF25/CSF1R/EFNA4/EFNB2/EFNA3/GAP43/NRP2/UNC5B/EPHA7/SLIT1/BRAF/EPHA4/ROBO4/UNC5D/NRXN3/GDI1/SEMA4A/SLITRK6/PLXNB3/DCLK1/KREMEN1/STMN1/NLGN3/EPHB1/DSCAML1/SLIT2/LRP4/PLXNA4/PLXND1/FN1/EFNA1/AMIGO1/NCAM1/SEMA5B/SEMA6D/SEMA4G/RTN4RL1/EPHA8/CNTN6/MAG/NECTIN1/SLITRK2/DCC/ADGRB1/RELN/CHN1/ROBO2/NRXN1/EPHA6/DAG1/LMO4/NEUROG1/TWF2/NDEL1/GSK3B/APOE/BDNF/CRPPA/CTNNA1/FGF8/GFRA3/HDAC6/EFNB3/NEUROG3/VEGFA/EFNA5/ERBB2/NTRK3/TNC/MAP2K1/ARTN/PLA2G10/BMP7/PTN/NRP1/RET/SEMA3A/CNTN2/CNTN4/CNTN5/MATN2/NTN4/BCL2/EPHA3/NTRK1/BSG/CHL1/MAP2K2/EPHA5/FGFR2/FYN/PRKCQ/PTEN/SKP1/TGFB2/L1CAM/BOC/PLXNC1/SLITRK5/APOD/BMPR2/NTRK2/GRN/UCHL1/EPHA10/EPHB6/RTN4R/NOTCH1/NOTCH3/NRCAM/SEMA6B/SEMA6A/SCARF1/UNC5C/SEMA3E/TNFRSF21/ALCAM/RGMA/RYK/SEMA3G/CRTAC1/NTNG1/OLFM1/SEMA4D/ROBO1/NGF/GDNF/NOG/NELL2/PTPRS/NCAM2/ANOS1/NTN1/CCK/COL25A1/SEMA7A/DRAXIN/SLITRK4/NFASC/NPTN/APLP1/PGRMC1/SEMA4C/UNC5A/B3GNT2/EPHB2/PTPRJ/UST/NOTCH2/NEO1/ADAM17/DSCAM/PLXNB2/EPHB3/NPTX1/FSTL4/PCDHAC2/LRRC4C/PTK7/CDH11/ENAH/VASP/BRSK2/SEMA4B/CTNNA2/NEFH/SEMA4F/PITPNA",199
"GO:0031175","neuron projection development","337/3128","497/5698",0.678068410462777,1.23517704693635,6.05368223336071,5.83907280813734e-10,2.57444720110775e-07,2.4714643959495e-07,"NEFL/BMPR1B/SLITRK3/LRP2/APLP2/SLITRK1/EFNA2/B4GALT6/SPAST/STMN2/TENM3/SPG21/TRIO/SPART/TBCE/ADGRF1/TNR/PTK2B/SPOCK1/SMURF1/DNM2/EVL/CRABP2/JAK2/PTPN11/DDR1/SMAD4/IST1/SH3GL2/VRK1/OPHN1/DPYSL5/HERC1/DPYSL3/GRID2/TWF1/MICALL2/PRKN/PRKG1/S100A6/EFNB1/NEGR1/SPP1/FLRT2/FLRT3/ISLR2/SHANK1/SHANK3/ITPKA/ARHGEF25/DVL2/NCK2/CSF1R/KLK8/PAK4/SFRP1/EFNA4/IL15RA/MAGI2/ITSN1/EFNB2/EFNA3/RAB6B/GAP43/ANKRD1/ADGRB3/DDR2/NRP2/UNC5B/CTHRC1/LRP12/VIM/EPHA7/NLGN1/AKT1/SLIT1/BRAF/EPHA4/ROBO4/UNC5D/NRXN3/GDI1/CDK16/MAPRE3/OMG/SEMA4A/SLITRK6/PLXNB3/DCLK1/KREMEN1/SYT4/STMN1/NLGN3/EPHB1/GAS7/FKBP4/CRMP1/ARF4/CD3E/DSCAML1/HDAC2/SLIT2/VLDLR/RAB13/HPRT1/SNX3/LRP4/PLXNA4/PLXND1/EFHD1/FN1/RAB6A/EFNA1/AMIGO1/GFAP/NCAM1/CIB1/IMPACT/IL1RAPL1/SEMA5B/SEMA6D/SEMA4G/RTN4RL1/EPHA8/CNTN6/MAG/NECTIN1/ATF1/DBNDD2/SYT1/BCL7A/ARC/SLITRK2/BLOC1S6/GPR37/DCC/ADGRB1/RELN/BMP5/ITGA6/PPP1R9B/YWHAH/CHN1/ROBO2/NRXN1/EPHA6/FZD1/MAPK6/DAG1/LTK/LMO4/NEUROG1/TWF2/NDEL1/NCKIPSD/PDLIM5/GSK3B/APOE/BDNF/PRRX1/EHD1/CRPPA/CTNNA1/FGF8/MICALL1/GFRA3/HDAC6/SRGAP2/EFNB3/HMGB1/ATXN10/IL6/NEUROG3/RAPGEF1/VEGFA/EFNA5/ERBB2/PRKCZ/NTRK3/TNC/SOD1/MAP2K1/ARTN/NBL1/PLA2G10/BMP7/PTPN1/PTN/NRP1/RET/SEMA3A/CNTN2/CNTN4/CNTN5/GFRA1/GPC2/LRP8/MATN2/NTN4/ABL2/CAMK2A/CAMK2B/PRKCI/LYN/BCL2/EPHA3/KLK6/POSTN/NTRK1/B2M/BSG/CAMK1/CHL1/MAP2K2/EPHA5/FGFR2/FYN/PRKCQ/PAK6/PTEN/SKP1/NTF4/TGFB2/CFL1/L1CAM/BOC/FLRT1/KIRREL3/PLXNC1/SLITRK5/APOD/BMPR1A/BMPR2/NTRK2/CDNF/CRK/DBNL/GRN/UCHL1/RB1/EPHA10/EPHB6/RTN4R/NOTCH1/NOTCH3/NRCAM/SEMA6B/SEMA6A/SCARF1/UNC5C/S100A9/CPNE1/SEMA3E/TNFRSF21/ALCAM/RGMA/FGFR1/RYK/SEMA3G/CRTAC1/NTNG1/OLFM1/SEMA4D/ROBO1/NGF/GDNF/NOG/NELL2/PTPRS/ALKAL2/NCAM2/GHRL/ANOS1/NDNF/UBB/NTN1/CCK/CNTNAP2/STX1B/COL25A1/SEMA7A/DRAXIN/SLITRK4/VAPA/NFASC/STX3/NPTN/APLP1/ATP1B2/FMR1/PGRMC1/ST8SIA2/SEMA4C/NDRG4/UNC5A/B3GNT2/STMN3/DLG4/EPHB2/ALK/PTPRJ/ADCYAP1/PTPRU/SULT4A1/UST/NOTCH2/CTNNB1/TMEM106B/NEO1/ADAM17/PHGDH/PLXNA1/NLGN2/SYT17/DSCAM/SERPINF1/PLXNB2/EPHB3/MANF/NPTX1/PTPRD/FSTL4/PCDHAC2/LRRC4C/PTK7/LST1/CDH11/ENAH/VASP/BRSK2/SEMA4B/CTNNA2/CRKL/RAP2A/NEFH/SEMA4F/PITPNA",337
