"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","61/1904","76/3379",0.802631578947368,1.42441812251216,4.25122130593051,8.41695096513454e-06,0.0027775938184944,0.00241876590892814,"RAF1/NRAS/SORT1/FOXO3/SHC4/PTPN11/RPS6KA1/RPS6KA6/MAP3K3/FRS2/YWHAE/AKT2/MAPK10/MAPK9/AKT1/BRAF/SHC1/CAMK4/MAGED1/SH2B3/MAP2K5/GSK3B/BDNF/GAB1/IKBKB/RAPGEF1/NTRK3/MAPK3/MAP2K1/FASLG/MAPK1/CAMK2A/CAMK2B/AKT3/BCL2/CAMK2D/RPS6KA3/NTRK1/MAP2K2/MAPKAPK2/MATK/MAPK8/NTF4/PDPK1/PLCG1/NTRK2/CRK/MAPK11/MAPK13/MAPK14/KRAS/GRB2/NGF/BAD/TP53/ARHGDIA/PIK3R1/RIPK2/ARHGDIB/NFKB1/CRKL",61
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","95/1904","130/3379",0.730769230769231,1.29688510019392,3.92150259850094,4.47082110975473e-05,0.00737685483109531,0.00642386401559496,"RAF1/ILK/NRAS/BMPR1B/EFNA2/MET/PTPN11/DPYSL5/EFNB1/RND1/NCK2/PAK4/EFNA4/EFNB2/EFNA3/CFL2/UNC5B/EPHB4/PPP3R1/EPHA7/SLIT1/EPHA4/UNC5D/SEMA4A/PLXNB3/EPHB1/PPP3R2/SLIT2/RAC2/MYL12A/PLXNA4/EFNA1/SEMA5B/SEMA6D/SEMA4G/EPHA8/DCC/LRRC4/MYL9/WNT5B/ROBO2/EPHA6/GSK3B/SRGAP2/EFNB3/EFNA5/PRKCZ/MAPK3/BMP7/MAPK1/NRP1/SEMA3A/NTN4/CAMK2A/CAMK2B/CAMK2D/EPHA3/EPHA5/FYN/PAK6/CFL1/L1CAM/BOC/PDPK1/PLCG1/PLXNC1/EPHA2/BMPR2/EPHB6/SEMA6B/SEMA6A/UNC5C/KRAS/SEMA3E/RGMA/SRC/RYK/SEMA3G/NTNG1/SEMA4D/ROBO1/NTN1/SEMA7A/SEMA4C/UNC5A/EPHB2/PIK3R1/NEO1/PLXNA1/PLXNB2/EPHB3/LRRC4C/ENAH/SEMA4B/SEMA4F",95
"Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","50/1904","63/3379",0.793650793650794,1.40848005869014,3.71792956662184,9.83382952823877e-05,0.0104929537324746,0.00913740468569562,"RAF1/STAT3/PDGFRA/NRAS/FOXO3/SHC4/MET/JAK2/ARAF/PDGFC/FGFR3/AKT2/GAS6/IL6R/AKT1/BRAF/SHC1/GSK3B/GAB1/IL6/VEGFA/ERBB2/ERBB3/EGFR/HGF/MAPK3/MAP2K1/FGF2/MAPK1/AKT3/BCL2/MAP2K2/KDR/FGFR2/PTEN/IGF1R/BCL2L1/PDGFA/PLCG1/KRAS/GRB2/PRKCB/PRKCG/SRC/EGF/BAD/NRG2/IGF1/PIK3R1/NRG1",50
"Environmental Information Processing","Signaling molecules and interaction","hsa04517","IgSF CAM signaling","129/1904","186/3379",0.693548387096774,1.23082983193277,3.67888517329673,0.00012718731796939,0.0104929537324746,0.00913740468569562,"CLMP/SLITRK3/MPZ/SLITRK1/TRIO/DYNLL2/ITGAL/PTPN11/TJP1/ARPC1B/ITGB2/NCK2/PAK4/EPB41L1/MAGI2/AKT2/NRP2/UNC5B/MAPK10/MAPK9/NLGN1/AKT1/SLIT1/ROBO4/UNC5D/KIRREL2/CASK/DOK1/CADM2/SLITRK6/NLGN3/RDX/SH2D1B/SLIT2/MYL12A/PLXNA4/DOK2/MYL6B/MYL6/NCAM1/IL1RAPL1/ESAM/MAG/NECTIN1/GLDN/SLITRK2/DCC/LRFN4/NLGN4Y/MYL9/ITGAM/FOXO1/KIRREL1/CD209/ROBO2/GSK3B/SRGAP2/INPP5D/CD80/ICAM3/NTRK3/MAPK3/MAP2K1/JAM2/JAM3/MAPK1/NRP1/CNTN2/LY9/CADM1/CSK/PRKCI/LYN/AKT3/MAP2K2/CADM3/CD84/KDR/CDH2/FYN/PRKCQ/MAPK8/PAK6/L1CAM/PTPN6/ICAM1/PDPK1/KIRREL3/LCK/PLCG1/SLITRK5/MAPK11/MAPK13/MAPK14/NRCAM/UNC5C/VAV1/CD86/NLGN4X/GRB2/PRKCB/PRKCG/SRC/FGFR1/CD226/ROBO1/PTPRS/NECTIN2/NCAM2/LRRTM4/LRFN5/NTN1/CNTNAP2/CABLES2/SLITRK4/NFASC/ANK2/CRTAM/UNC5A/PVR/JAML/CTNNB1/PIK3R1/PLXNA1/NLGN2/PTPRD/LRRC4C/EZR/VAV3",129
"Human Diseases","Cancer: overview","hsa05230","Central carbon metabolism in cancer","40/1904","49/3379",0.816326530612245,1.44872234608129,3.59435447849521,0.000160134657601883,0.0105688874017242,0.00920352874217135,"RAF1/PDGFRA/NRAS/MET/TIGAR/HK2/HK1/FGFR3/AKT2/LDHA/PGAM2/AKT1/SCO2/PFKM/IDH1/G6PD/SIRT6/PDHB/KIT/PDHA2/ERBB2/NTRK3/EGFR/MAPK3/MAP2K1/MAPK1/RET/AKT3/FLT3/NTRK1/MAP2K2/FGFR2/PTEN/LDHB/PGAM1/KRAS/FGFR1/TP53/PIK3R1/LDHC",40
"Human Diseases","Cancer: specific types","hsa05213","Endometrial cancer","30/1904","35/3379",0.857142857142857,1.52115846338535,3.52077253081721,0.00020231320122432,0.0111272260673376,0.00968973753232272,"RAF1/ELK1/ILK/NRAS/FOXO3/ARAF/AXIN2/AKT2/AKT1/BRAF/GSK3B/CTNNA1/CTNNA3/ERBB2/EGFR/MAPK3/MAP2K1/MAPK1/AKT3/MAP2K2/PTEN/PDPK1/KRAS/GRB2/EGF/BAD/TP53/CTNNB1/PIK3R1/CTNNA2",30
"Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","34/1904","41/3379",0.829268292682927,1.47168989547038,3.45201456593177,0.000283754678903236,0.0130936277165878,0.0114021064326267,"RAF1/STAT3/NRAS/FOXO3/MET/ARAF/AKT2/AKT1/BRAF/STAT5B/STAT5A/STK4/ERBB2/EGFR/HGF/MAPK3/MAP2K1/MAPK1/RET/AKT3/MAP2K2/PDPK1/PLCG1/RB1/KRAS/GRB2/PRKCB/PRKCG/EGF/BAD/TP53/ALK/PIK3R1/FHIT",34
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","68/1904","92/3379",0.739130434782609,1.31172360248447,3.44374537321619,0.000317421277977886,0.0130936277165878,0.0114021064326267,"CD99L2/SLITRK3/MPZ/SLITRK1/CD58/ITGB7/CDH15/MADCAM1/SELPLG/VSIR/ITGAL/ITGB2/SPN/NEGR1/CD8A/NLGN1/NRXN3/SDC3/SLITRK6/NLGN3/NCAM1/ESAM/MAG/NECTIN1/SLITRK2/LRRC4/NLGN4Y/ITGA6/ITGAM/NRXN1/OCLN/CLDN1/CD80/ICAM3/PECAM1/CD22/JAM2/JAM3/CNTN2/CADM1/SELE/CADM3/CDH2/L1CAM/ICAM1/SLITRK5/CD274/ICOSLG/NRCAM/CD86/NLGN4X/ALCAM/NTNG1/CD226/PTPRS/NECTIN2/NCAM2/CNTNAP2/SLITRK4/NFASC/PVR/JAML/NEO1/NLGN2/IGSF11/PTPRD/CD8B/LRRC4C",68
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","127/1904","188/3379",0.675531914893617,1.1988562712319,3.18729380550392,0.000818984798583508,0.0300294426147286,0.0261500409372278,"RAF1/ELK1/PDGFRA/NRAS/HSPA1A/CSF1/EFNA2/CACNB4/FLNA/RELB/MET/RPS6KA1/DUSP6/MAX/CDC25B/LAMTOR3/ARAF/PPM1A/ARRB1/RPS6KA6/MAP3K3/VEGFD/PDGFC/ANGPT2/FGFR3/CSF1R/FGF19/FGF16/EFNA4/FLT3LG/TGFB1/EFNA3/AKT2/MAPK10/PPP3R1/MAPK9/AKT1/BRAF/FLT4/FLT1/CD14/MAP2K6/STMN1/MRAS/PPP3R2/HSPA1B/RAC2/JUND/EFNA1/DUSP10/STK3/MAP3K11/IKBKG/PPM1B/MAP2K5/ELK4/STK4/MKNK1/BDNF/CACNB3/FGF8/KIT/IKBKB/ANGPT4/GNG12/VEGFA/EFNA5/ERBB2/ERBB3/ERBB4/TNFRSF1A/EGFR/HGF/ANGPT1/MAPK3/MAP2K1/ARTN/IL1R1/FGF2/IL1B/FASLG/FGF5/MAPK1/RET/AKT3/FLT3/INSR/RPS6KA3/NTRK1/TGFB3/MAP2K2/KDR/FGFR2/MAPKAPK2/MAPK8/NTF4/TGFB2/IGF1R/PDGFA/EPHA2/IL1A/NTRK2/CRK/FGFR4/MAPK11/MAPK13/MAPK14/KRAS/FAS/GRB2/PRKCB/PRKCG/EGF/FGFR1/NGF/GDNF/HSPA8/TP53/PTPRR/IGF1/CACNA2D3/MAP4K1/MAP4K3/KITLG/VEGFB/NFKB1/CRKL",127
"Organismal Systems","Nervous system","hsa04720","Long-term potentiation","23/1904","27/3379",0.851851851851852,1.51176859632742,3.03298871441551,0.00143407932562356,0.0423805606459241,0.0369055599883167,"RAF1/NRAS/PLCB1/RPS6KA1/ARAF/RPS6KA6/PPP3R1/BRAF/PPP1R1A/PPP3R2/CAMK4/PPP1CC/MAPK3/MAP2K1/MAPK1/CAMK2A/CAMK2B/CAMK2D/RPS6KA3/MAP2K2/KRAS/PRKCB/PRKCG",23
