"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-9675108","Nervous system development","191/2324","272/4190",0.702205882352941,1.26602523539536,5.06282008883763,1.8337030942146e-07,0.000212526188619472,0.000176421539801278,"PSMB6/NRAS/MPZ/EFNA2/TRIO/CACNB4/COL6A1/COL6A3/DNM2/EVL/MET/PTPN11/TREM2/RPS6KA1/PSMA7/SH3GL2/PSMB5/PSMB1/DPYSL5/RPS6KA6/ARPC1B/DPYSL3/FRS2/EFNB1/FLRT3/SHANK3/RND1/NCK2/AP2A2/CLTC/PAK4/RAP1GAP/NAB1/EFNA4/ITSN1/PSMA4/EFNB2/EFNA3/AGAP2/GAP43/NRP2/UNC5B/AGRN/EPHB4/COL2A1/NCAN/EPHA7/SLIT1/SHC1/EPHA4/UNC5D/DOK1/MAGOHB/SEMA4A/PLXNB3/EPHB1/RHOB/CRMP1/PSMB3/PSMB4/RDX/DSCAML1/HDAC2/PSMA5/SLIT2/VLDLR/PSMB2/MYL12A/PLXNA4/PLXND1/DOK2/EFNA1/MYL6/NCAM1/COL9A3/PFN1/SCN3B/SEMA6D/EPHA8/CNTN6/MAG/RPL5/RPL11/RPL26L1/RPS20/RELN/MYL9/COL5A1/ROBO2/EPHA6/DAG1/PSMC3/PSMD6/GSK3B/CACNB3/GSPT2/GAB1/DNM1/NCBP1/AP2B1/GFRA3/SRGAP2/EFNB3/GFRA2/EIF4G1/PRX/YAP1/PSMC5/MMP9/EFNA5/ERBB2/HSP90AA1/EGFR/MAPK3/MAP2K1/YES1/ARTN/MAPK1/NRP1/RET/SEMA3A/CNTN2/GFRA1/NTN4/RGMB/HJV/ABL2/LYN/CSNK2A1/EPHA3/RPS6KA3/CHL1/MAP2K2/EPHA5/FYN/PAK6/PSMA1/RPS7/PSMD7/CFL1/L1CAM/PSMA2/RPS27A/PLCG1/PLXNC1/EPHA2/EIF4A3/EPHA10/EPHB6/NRCAM/SEMA6A/UNC5C/KRAS/HMGCR/SEMA3E/ALCAM/GRB2/HSP90AB1/RGMA/SRC/FGFR1/SEMA4D/ROBO1/GDNF/HSPA8/NELL2/UBC/UBB/NTN1/SEMA7A/ST8SIA4/NFASC/ANK2/ST8SIA2/UNC5A/DLG4/EPHB2/SCN2B/ADAM10/GPC1/PIK3R1/NEO1/PLXNA1/DSCAM/EPHB3/EZR/ENAH/RPS4X/VASP/VAV3/PITPNA",191
"R-HSA-422475","Axon guidance","184/2324","263/4190",0.699619771863118,1.26136266958109,4.88549308997039,4.747936290338e-07,0.000275142908025087,0.000228400724703628,"PSMB6/NRAS/EFNA2/TRIO/CACNB4/COL6A1/COL6A3/DNM2/EVL/MET/PTPN11/TREM2/RPS6KA1/PSMA7/SH3GL2/PSMB5/PSMB1/DPYSL5/RPS6KA6/ARPC1B/DPYSL3/FRS2/EFNB1/FLRT3/SHANK3/RND1/NCK2/AP2A2/CLTC/PAK4/RAP1GAP/EFNA4/ITSN1/PSMA4/EFNB2/EFNA3/AGAP2/GAP43/NRP2/UNC5B/AGRN/EPHB4/COL2A1/NCAN/EPHA7/SLIT1/SHC1/EPHA4/UNC5D/DOK1/MAGOHB/SEMA4A/PLXNB3/EPHB1/RHOB/CRMP1/PSMB3/PSMB4/RDX/DSCAML1/PSMA5/SLIT2/VLDLR/PSMB2/MYL12A/PLXNA4/PLXND1/DOK2/EFNA1/MYL6/NCAM1/COL9A3/PFN1/SCN3B/SEMA6D/EPHA8/CNTN6/RPL5/RPL11/RPL26L1/RPS20/RELN/MYL9/COL5A1/ROBO2/EPHA6/DAG1/PSMC3/PSMD6/GSK3B/CACNB3/GSPT2/GAB1/DNM1/NCBP1/AP2B1/GFRA3/SRGAP2/EFNB3/GFRA2/EIF4G1/PSMC5/MMP9/EFNA5/ERBB2/HSP90AA1/EGFR/MAPK3/MAP2K1/YES1/ARTN/MAPK1/NRP1/RET/SEMA3A/CNTN2/GFRA1/NTN4/RGMB/HJV/ABL2/LYN/CSNK2A1/EPHA3/RPS6KA3/CHL1/MAP2K2/EPHA5/FYN/PAK6/PSMA1/RPS7/PSMD7/CFL1/L1CAM/PSMA2/RPS27A/PLCG1/PLXNC1/EPHA2/EIF4A3/EPHA10/EPHB6/NRCAM/SEMA6A/UNC5C/KRAS/SEMA3E/ALCAM/GRB2/HSP90AB1/RGMA/SRC/FGFR1/SEMA4D/ROBO1/GDNF/HSPA8/NELL2/UBC/UBB/NTN1/SEMA7A/ST8SIA4/NFASC/ANK2/ST8SIA2/UNC5A/DLG4/EPHB2/SCN2B/ADAM10/GPC1/PIK3R1/NEO1/PLXNA1/DSCAM/EPHB3/EZR/ENAH/RPS4X/VASP/VAV3/PITPNA",184
"R-HSA-9006934","Signaling by Receptor Tyrosine Kinases","207/2324","308/4190",0.672077922077922,1.2117067527997,4.30724649202647,8.59140853407476e-06,0.00331914749699755,0.00275527978952433,"ELK1/NCF2/STAT3/PDGFRA/STAT1/STAT6/NRAS/NRG3/COL1A1/COL6A1/COL6A3/WWP1/PTK2B/RBFOX2/DNM2/GGA3/MET/JAK2/PTPN11/CBL/RPS6KA1/DUSP6/YWHAB/SH3GL2/PPP2R1A/AHCYL1/ELMO1/HNRNPM/FRS2/VEGFD/SPP1/FLRT2/FLRT3/USP8/NCK2/AP2A2/HGS/PDGFC/FGFR3/CLTC/FGF19/FGF16/NAB1/FLT3LG/SPARC/NRG4/HNRNPH1/RALA/AKT2/KL/NRP2/ID2/COL2A1/AKT1/BRAF/PGR/FLT4/SHC1/FLT1/STAT5B/JUP/STMN1/WWOX/SH3GL3/LRIG1/HDAC2/MEMO1/TIAL1/POLR2K/JUND/POLR2I/FN1/LAMA3/GFAP/COL9A3/STAT5A/POLR2E/POLR2F/ATF1/GTF2F2/BRK1/ARC/TIA1/NOS3/SH2B3/MAP2K5/COL5A1/PPP2R5D/GIPC1/LTK/THEM4/ATP6V1C1/MKNK1/APOE/BDNF/EPN1/GAB1/CTNNA1/FGF8/DNM1/NCBP1/KIT/AP2B1/DIAPH1/ATP6V1F/YAP1/MMP9/PIK3C3/RAPGEF1/VEGFA/ERBB2/ERBB3/ERBB4/HSP90AA1/IL2RG/MST1R/PRKCZ/NTRK3/EGFR/HGF/SPINT2/CHEK1/MAPK3/MAP2K1/YES1/PTPN1/TGFBR3/FGF2/PTN/FGF5/MAPK1/IDE/NRP1/THBS2/THBS4/CSK/LYN/AKT3/CMA1/FLT3/INSR/RPS6KA3/THBS1/NTRK1/MAP2K2/KDR/FGFR2/FYN/MAPKAPK2/MATK/NTF4/EPS15L1/IGF1R/PTPN6/ADAM12/PDPK1/RPS27A/PDGFA/FLRT1/LCK/PLCG1/NTRK2/CRK/FGFR4/MAPK11/MAPK13/MAPK14/CD274/KRAS/GRAP2/VAV1/GRB2/PRKCB/SRC/CTSD/EGF/FGFR1/CILP/NGF/PTPRS/UBC/FURIN/ALKAL2/ANOS1/UBB/NRG2/DLG4/ALK/PTPRJ/ADCYAP1/PTPRU/HGFAC/ADAM10/IGF1/CTNNB1/PIK3R1/ADAM17/THBS3/NRG1/BTC/KITLG/ID1/VEGFB/LAMC2/VAV3/CRKL/TNS4",207
"R-HSA-5663202","Diseases of signal transduction by growth factor receptors and second messengers","176/2324","263/4190",0.669201520912547,1.20652081438192,3.86036771515626,6.15078779444969e-05,0.017821907634418,0.0147942632740185,"RAF1/FOXM1/STAT3/PDGFRA/STAT1/MCL1/PSMB6/NRAS/NRG3/FOXO3/MET/JAK2/PTPN11/CBL/SMAD4/DUSP6/YWHAB/PSMA7/RHOG/PSMB5/ARAF/PSMB1/PPP2R1A/ATG7/ARRB1/FRS2/FXR1/PPP2R5A/FGFR3/CLTC/IL10/FGF19/FGF16/IL22/FLT3LG/PSMA4/TGFB1/RNF43/NRG4/AKT2/AGO3/KL/SQSTM1/MAPK9/AKT1/BRAF/DKK2/SHC1/STAT5B/KREMEN1/CUL1/MRAS/PSMB3/PSMB4/HDAC2/PSMA5/RAC2/POLR2K/PSMB2/PPP1CC/KAT2A/IRF4/IHH/POLR2I/FN1/FZD5/STAT5A/POLR2E/POLR2F/FZD8/GTF2F2/DUSP10/NPM1/TSC2/MAP3K11/PRKAR1A/BIN2/CEP43/APBB1IP/PPM1B/FOXO1/PPP2R5D/LRP6/DKK4/AKT1S1/PSMC3/PSMD6/GSK3B/EEF1G/BDNF/GAB1/SND1/FGF8/NCBP1/KIT/VCP/HDAC6/PSMC5/FKBP1A/LRP5/CD80/ERBB2/ERBB3/ERBB4/HSP90AA1/NTRK3/EGFR/HGF/MAPK3/MAP2K1/YES1/FGF2/VWF/FGF5/MAPK1/KREMEN2/DLL4/CAMK2A/CAMK2B/CSK/LYN/AKT3/CAMK2D/FLT3/MAP2K2/KDR/FGFR2/FYN/MAPK8/PTEN/ZAP70/PSMA1/PSMD7/SKP1/NTF4/PEBP1/PSMA2/PTPN6/BCL2L1/PDPK1/RPS27A/PDGFA/LCK/PLCG1/NTRK2/FGFR4/RB1/JAG1/JAG2/NOTCH1/KRAS/TYK2/VAV1/CD86/DLL1/GRB2/SRC/EGF/FGFR1/BAD/TP53/UBC/UBB/QKI/TPM4/NRG2/ALK/ADAM10/CTNNB1/PIK3R1/ERLEC1/ADAM17/NRG1/BTC/KITLG/TNKS",176
"R-HSA-9824446","Viral Infection Pathways","278/2324","435/4190",0.639080459770115,1.1522147704117,3.74208697315415,0.000100390764488936,0.0198236320263801,0.016455928134155,"ELK1/CUL3/STAT1/RPN1/DHX9/PSMB6/MGAT1/PUF60/SUDS3/HSPA1A/PKLR/P4HA2/SYK/P4HB/PCBP1/VPS4A/DYNLL2/SRSF6/DNAJA2/ELAVL1/MAP1LC3B/UBE2V1/CLINT1/JAK2/PTPN11/TJP1/SMAD4/YWHAB/PPIH/PSMA7/CHMP3/FEN1/PSMB5/PSMB1/NRBP1/ATG7/ELMO1/NUP98/HNRNPM/SAP18/SAP30/HERC5/RBM22/NPLOC4/TSG101/PRKG1/ATP1B1/HNRNPR/EMC4/HDLBP/U2AF2/AP2A2/NCL/TYRO3/CLTC/MED4/PSMA4/TGFB1/IFNA10/H2BC21/ISG15/YWHAE/RAB5C/HNRNPH1/DYNLT1/AKT2/SEC13/GBP1/RBBP4/GAS6/IFNA21/IFNA4/AGRN/VIM/IL6R/HSPG2/AKT1/SDC3/MAPRE3/CD14/IRF3/PTGES3/DDOST/RAB5A/SNRPB2/RBM17/FKBP4/CHMP2A/SNRPD3/SMNDC1/RANBP1/TAF10/PSMB3/PSMB4/COMT/PPIG/EIF4A2/EIF4A1/GPC4/HDAC2/HSPA1B/PSMA5/POLR2K/BTK/RAB5B/BAG2/ARF1/PSMB2/SNRPG/PPP1CC/KPNA1/MERTK/POLR2I/C1S/BUD31/MED20/POLR2E/POLR2F/GTF2F2/NUDT21/RPL5/EED/SF3B6/ELAVL2/KPNA5/NPM1/SNRPE/RPL11/SNRPA1/GTF2E2/CHMP4A/HYOU1/RPL26L1/PPIL3/RPS20/TXNL4A/SAR1B/MGAT5/NELFE/SNF8/UBA7/IKBKG/YWHAH/GEMIN7/SAP30L/H2AC1/H2BC12/SRPK1/H2AC11/MED28/MED11/CD209/ZBP1/MVB12B/TKFC/PSMC3/PSMD6/GSK3B/CSTF1/NELFA/NCBP1/CLDN1/PYCARD/AP2B1/IKBKB/AP1B1/SRRT/DYNC1LI1/VCP/RANGAP1/PRPF19/TRIM28/PML/EIF4G1/FXYD6/PSMC5/MMP9/DOCK2/FKBP1A/PIK3C3/VEGFA/HSP90AA1/MRC1/EGFR/XRCC6/NR3C1/TBP/UBE2I/IL1R1/IL17RA/MBL2/CD33/NRP1/GPC2/CAMK2A/CAMK2B/LYN/AKT3/TBK1/CAMK2D/CSNK2A1/B2M/FYN/TLR2/PPIA/NACA/PSMA1/RPS7/PSMD7/SKP1/UBE2N/YWHAG/EIF4G2/IGF1R/PSMA2/PTPN6/BCL2L1/PDPK1/RPS27A/CLU/LCK/PPIB/PDIA3/SFN/GPC5/EIF4A3/RB1/IMPDH1/TYK2/CALR/VAV1/GPC6/GRB2/HSP90AB1/SNRPF/CD300A/ST3GAL1/PRKCSH/IFNGR1/YWHAZ/HSPA8/ST6GAL1/IFNAR1/UBC/FURIN/UBB/MGAT2/MAN1B1/GALNT1/DNAJB11/MGAT4B/C4BPB/IFNA14/MGAT4C/ATP1B2/YWHAQ/CD79A/ST6GALNAC2/PARP16/FUT8/VTN/DNAJC10/CTNNB1/KEAP1/GPC1/PIK3R1/PABPN1/RIPK2/MASP1/IFNGR2/CD8B/PRPF6/RPS4X/G3BP2/CCNH/NFKB1/PPIL1/XRCC4",278
"R-HSA-9839923","Dengue Virus Infection","118/2324","170/4190",0.694117647058824,1.25144274577301,3.73480530523494,0.000102624497116722,0.0198236320263801,0.016455928134155,"RPN1/DHX9/PUF60/HSPA1A/P4HA2/P4HB/PCBP1/SRSF6/DNAJA2/ELAVL1/MAP1LC3B/CLINT1/TJP1/NRBP1/ATG7/HNRNPM/RBM22/NPLOC4/TSG101/PRKG1/HNRNPR/EMC4/HDLBP/U2AF2/AP2A2/NCL/TYRO3/H2BC21/HNRNPH1/DYNLT1/GAS6/AGRN/VIM/HSPG2/SDC3/MAPRE3/CD14/DDOST/SNRPB2/RBM17/SNRPD3/SMNDC1/EIF4A2/EIF4A1/GPC4/HSPA1B/POLR2K/BAG2/SNRPG/KPNA1/MERTK/POLR2I/C1S/BUD31/POLR2E/POLR2F/GTF2F2/NUDT21/SF3B6/ELAVL2/KPNA5/SNRPE/SNRPA1/HYOU1/PPIL3/TXNL4A/UBA7/H2AC1/H2BC12/H2AC11/CD209/CSTF1/NCBP1/CLDN1/AP2B1/SRRT/VCP/PRPF19/PML/EIF4G1/MMP9/PIK3C3/HSP90AA1/MRC1/UBE2I/MBL2/CD33/GPC2/CAMK2A/CAMK2B/LYN/CAMK2D/NACA/EIF4G2/RPS27A/CLU/PDIA3/GPC5/EIF4A3/CALR/GPC6/HSP90AB1/SNRPF/CD300A/HSPA8/UBC/FURIN/UBB/DNAJB11/C4BPB/VTN/DNAJC10/CTNNB1/GPC1/PIK3R1/PABPN1/PRPF6/PPIL1",118
"R-HSA-2454202","Fc epsilon receptor (FCERI) signaling","50/2324","64/4190",0.78125,1.40853592943201,3.67513295270089,0.00012321618150006,0.0199225993135086,0.0165380825326251,"PSMB6/NRAS/LAT/SYK/UBE2V1/PSMA7/CDC34/PSMB5/PSMB1/AHCYL1/PSMA4/MAPK10/PPP3R1/MAPK9/SHC1/CUL1/PSMB3/PSMB4/UBE2D2/PSMA5/BTK/PSMB2/IKBKG/PSMC3/PSMD6/IKBKB/PSMC5/MAPK3/MAPK1/LYN/FYN/MAPK8/PSMA1/PSMD7/SKP1/UBE2N/PSMA2/PDPK1/RPS27A/PLCG1/KRAS/GRAP2/VAV1/GRB2/UBC/UBB/PIK3R1/FCER1A/VAV3/NFKB1",50
"R-HSA-109606","Intrinsic Pathway for Apoptosis","22/2324","24/4190",0.916666666666667,1.65268215720023,3.57820444313672,0.000137515784735176,0.0199225993135086,0.0165380825326251,"STAT3/DYNLL2/YWHAB/YWHAE/AKT2/PPP3R1/AKT1/CASP8/YWHAH/MAPK3/MAPK1/AKT3/BCL2/MAPK8/YWHAG/BCL2L1/SFN/C1QBP/YWHAZ/BAD/TP53/YWHAQ",22
"R-HSA-3928665","EPH-ephrin mediated repulsion of cells","32/2324","38/4190",0.842105263157895,1.51825346498777,3.58115206477135,0.00016689795113239,0.0214927472624933,0.0178414885771935,"EFNA2/EFNB1/AP2A2/CLTC/EFNA4/EFNB2/EFNA3/EPHB4/EPHA7/EPHA4/EPHB1/EFNA1/EPHA8/EPHA6/DNM1/AP2B1/EFNB3/MMP9/EFNA5/YES1/LYN/EPHA3/EPHA5/FYN/EPHA2/EPHA10/EPHB6/SRC/EPHB2/ADAM10/EPHB3/VAV3",32
"R-HSA-5684996","MAPK1/MAPK3 signaling","109/2324","157/4190",0.694267515923567,1.2517129482443,3.58722563098422,0.000185958997185446,0.0215526477737932,0.0178912129923682,"RAF1/CUL3/NEFL/PDGFRA/CSF2RA/PSMB6/NRAS/LAT/NRG3/MET/JAK2/PTPN11/DUSP6/YWHAB/PSMA7/LAMTOR3/PSMB5/ARAF/PSMB1/PPP2R1A/ARRB1/FRS2/PDE6D/PPP2R5A/FGFR3/FGF19/FGF16/IL3RA/FLT3LG/PSMA4/NRG4/KL/IL6R/BRAF/SHC1/MRAS/PSMB3/PSMB4/PEA15/PSMA5/PSMB2/PPP1CC/DLG2/FN1/NCAM1/DUSP10/MAP3K11/APBB1IP/PPP2R5D/PSMC3/PSMD6/FGF8/KIT/GFRA3/GFRA2/PSMC5/IL6/ERBB2/ERBB3/ERBB4/IL6ST/IL2RG/EGFR/HGF/ANGPT1/MAPK3/MAP2K1/ARTN/FGF2/VWF/FGF5/MAPK1/RET/GFRA1/CAMK2A/CAMK2B/CSK/IL17RD/CAMK2D/FLT3/MAP2K2/IL5/FGFR2/FYN/PSMA1/PSMD7/PEBP1/PSMA2/BCL2L1/RPS27A/PDGFA/IL3/FGFR4/KRAS/TYK2/GRB2/SRC/EGF/FGFR1/GDNF/UBC/UBB/NRG2/DLG4/PIK3R1/NRG1/BTC/IL2RB/KITLG",109
