"gene","n_interactions","rho_median","rho_mean"
"SRC",216,-0.153056455923214,-0.153056455923214
"GSK3B",202,-0.227161871991544,-0.227161871991544
"MAPK14",157,0.134176318315386,0.134176318315386
"CSNK2A1",127,-0.355484608303679,-0.355484608303679
"MAPK1",122,0.394573893910694,0.394573893910694
"MAPK8",122,0.54122780385648,0.54122780385648
"RPS6KA3",115,-0.375315567928166,-0.375315567928166
"MAPK3",112,0.230161102276758,0.230161102276758
"AKT1",111,0.500843349634375,0.500843349634375
"TP53",110,-0.164856927430014,-0.164856927430014
"EGFR",107,0.263358327894738,0.263358327894738
"PRKCB",97,0.576515466564262,0.576515466564262
"FYN",94,0.215526570051238,0.215526570051238
"INSR",82,0.395229776081303,0.395229776081303
"LCK",70,-0.248367537261632,-0.248367537261632
"LYN",70,-0.27811945909461,-0.27811945909461
"IGF1R",65,0.432261689098451,0.432261689098451
"MAPK9",60,-0.023421776405275,-0.023421776405275
"CTNNB1",58,-0.027052259864546,-0.027052259864546
"ERBB2",57,-0.384605775982256,-0.384605775982256
"GNAS",56,-0.106930421132077,-0.106930421132077
"PTPN11",56,0.425336859265915,0.425336859265915
"NRXN1",54,0.588142273914771,0.519263644135039
"PLK1",54,-0.171636846215286,-0.171636846215286
"PTK2",53,-0.137198772710594,-0.137198772710594
"STAT3",52,0.196711081444805,0.196711081444805
"JAK2",51,-0.259465637577261,-0.259465637577261
"NOTCH1",50,0.500976150143294,0.500976150143294
"MDM2",48,-0.157256783205266,-0.157256783205266
"SHC1",48,0.050482957130258,0.050482957130258
"CBL",47,0.313506764207412,0.313506764207412
"IKBKB",46,0.547990491317362,0.547990491317362
"NRXN3",46,0.317457586998104,0.317457586998104
"PLCG1",45,0.238954403769726,0.238954403769726
"FGFR1",44,0.436357440380456,0.436357440380456
"SYK",44,-0.0466334729960265,-0.0466334729960265
"LRP1",43,0.0386945206665575,0.0386945206665575
"PTPN6",43,-0.355048176409273,-0.355048176409273
"PDGFRB",42,0.148031094608971,0.148031094608971
"MET",41,0.460330391972609,0.460330391972609
"CSK",39,-0.104575989184772,-0.104575989184772
"MAPK10",39,0.356647720110761,0.356647720110761
"NFE2L2",39,0.103045487801706,0.103045487801706
"PTPN1",39,0.208138381048303,0.208138381048303
"PTPRS",39,0.411495239246307,0.411495239246307
"AKT2",38,0.26877658524964,0.26877658524964
"PIK3R1",38,-0.397284725145117,-0.397284725145117
"CAMK2A",37,0.135958447823508,0.135958447823508
"LRP6",37,0.415370722426521,0.415370722426521
"HCK",36,-0.150063052058789,-0.150063052058789
"RAF1",35,0.724090184818603,0.724090184818603
"ITGB2",34,0.2867359449545,0.2867359449545
"MAPT",34,-0.151510768456684,-0.151510768456684
"PRKCZ",34,-0.334038354412217,-0.334038354412217
"RPS6KA1",34,-0.270698338766006,-0.270698338766006
"BAD",33,-0.29156389190048,-0.29156389190048
"PTEN",33,-0.253682006720457,-0.253682006720457
"PTK2B",33,-0.34815923253444,-0.34815923253444
"GRB2",32,0.61859067360148,0.61859067360148
"GSK3A",32,-0.0982393133054693,-0.0982393133054693
"PDPK1",32,-0.385562629343826,-0.385562629343826
"VAV1",32,-0.239054050870863,-0.239054050870863
"CDKN1A",31,-0.108108846922205,-0.108108846922205
"CSNK1D",31,0.185033882902792,0.185033882902792
"FOXO3",31,-0.352768735862532,-0.352768735862532
"MAPKAPK2",31,0.0977531418397245,0.0977531418397245
"PRKG1",31,0.391702044866497,0.391702044866497
"RET",31,0.30728732122319,0.30728732122319
"CDKN1B",30,-0.173309935247456,-0.173309935247456
"FGFR4",30,-0.371253619473776,-0.371253619473776
"KIT",30,0.396930688834049,0.396930688834049
"SMAD2",30,0.104386178908529,0.104386178908529
"STAT1",30,-0.349417892675508,-0.349417892675508
"EPHB2",29,0.496808834656403,0.496808834656403
"PTPRD",29,0.58126021762367,0.58126021762367
"RPS6KB1",29,-0.128219170148645,-0.128219170148645
"AURKB",28,-0.132822571422659,-0.132822571422659
"HNF4A",28,0.112746570667819,0.112746570667819
"EFNA4",27,0.269821702003853,0.269821702003853
"ERBB3",27,0.381119975502836,0.381119975502836
"CD44",26,-0.112765895265914,-0.112765895265914
"KDR",26,0.178040471965939,0.178040471965939
"NRP1",26,0.442445170405415,0.442445170405415
"PTPRJ",26,0.520970608216808,0.520970608216808
"TBK1",26,-0.353853670682212,-0.353853670682212
"FGFR3",25,0.0194760814693545,0.0194760814693545
"PRKN",25,0.268503655461385,0.268503655461385
"SPI1",25,-0.279476748854932,-0.279476748854932
"BCL2",24,-0.336252443879884,-0.336252443879884
"DAPK1",24,-0.372422732714574,-0.372422732714574
"EPHA3",24,0.532808618547668,0.532808618547668
"FGFR2",24,-0.143772950502531,-0.143772950502531
"ITGB5",24,-0.0989635600588931,-0.0989635600588931
"CDH1",23,-0.202661894205522,-0.202661894205522
"CHEK2",23,-0.121998350448883,-0.121998350448883
"FN1",23,0.368918716160836,0.36095234001061
"HSP90AA1",23,0.594880669021607,0.594880669021607
"PPARG",23,-0.123112788403989,-0.123112788403989
"PRKCG",23,0.752719526157261,0.752719526157261
"ZAP70",23,-0.142153734239809,-0.142153734239809
"ADAM10",22,-0.176964191168417,-0.176964191168417
"EFNA5",22,0.425601503794922,0.425601503794922
"EPHA2",22,0.299476024669425,0.299476024669425
"ITGA6",22,0.151585584208729,0.151585584208729
"ITGAM",22,0.1028237898625,0.1028237898625
"L1CAM",22,0.480099087237733,0.480099087237733
"NR3C1",22,-0.119621451297345,-0.119621451297345
"NTRK1",22,-0.429489966495587,-0.429489966495587
"AKT3",21,0.590503328246596,0.590503328246596
"BID",21,0.387449849183524,0.387449849183524
"BMPR1B",21,-0.146050026063478,-0.146050026063478
"BRAF",21,-0.185880538467056,-0.185880538467056
"BTK",21,-0.350680532094688,-0.350680532094688
"DCC",21,0.430697470799303,0.430697470799303
"EFNA3",21,0.428843727094625,0.428843727094625
"EFNB1",21,0.434891867445241,0.434891867445241
"EFNB2",21,0.21531726617857,0.21531726617857
"ENG",21,0.273804552372554,0.273804552372554
"EPHA4",21,0.41220847926242,0.41220847926242
"ERBB4",21,0.100957181599044,0.100957181599044
"FOXM1",21,-0.398982013136235,-0.398982013136235
