"source","target","is_directed","is_stimulation","is_inhibition","references"
"PRKCSH","PKD2","True","False","True","TRIP:19801576"
"KIF3A","PKD2","True","True","False","TRIP:17008358;TRIP:17283055;TRIP:16950792"
"RNF8","RXRA","True","True","False","SPIKE_LC:14981089;SPIKE_LC:16189514;SPIKE:14981089;SPIKE:16189514;HPRD:14981089;Lit-BM-17:14981089"
"MAPKAPK2","MAPK14","True","True","False","HINT:21675959;HINT:33961781;HINT:26496610;HINT:35271311;InnateDB:10581204;HINT:25852190;Lit-BM-17:10581204;Lit-BM-17:21675959;Lit-BM-17:21988832;Lit-BM-17:26496610;Lit-BM-17:23455922;HINT:17395714;Lit-BM-17:25241761;HINT:10581204;IntAct:17255097;IntAct:25241761;HINT:32707033;Lit-BM-17:17395714;HINT:10922375;HINT:11042204;HINT:34686655;HINT:17255097;Lit-BM-17:10922375;SPIKE:17395714;Lit-BM-17:25852190;Lit-BM-17:23602568;HINT:32649858;IntAct:21988832;SPIKE_LC:17395714;ELM:23047924;HPRD:7592979;ELM:25255283;Lit-BM-17:17255097;Lit-BM-17:11042204;InnateDB:17255097;BioGRID:17395714;Lit-BM-17:26186194;HPRD:8846784;HPRD:9768359"
"MAPK14","MAPKAPK2","True","True","False","HINT:21675959;HINT:33961781;HINT:26496610;HINT:35271311;InnateDB:10581204;SIGNOR:14499342;SIGNOR:7592979;SPIKE_LC:15629715;SignaLink3:21071413;ProtMapper:14499342;ACSN:11274345;HINT:25852190;ProtMapper:27898710;Lit-BM-17:10581204;SignaLink3:9768359;SIGNOR:8846784;Lit-BM-17:21675959;Lit-BM-17:21988832;Lit-BM-17:26496610;ProtMapper:18669648;dbPTM:8846784;Lit-BM-17:23455922;SPIKE:15629715;HINT:17395714;Lit-BM-17:25241761;KEA:16456544;HPRD-phos:8846784;ProtMapper:8846784;HINT:10581204;IntAct:17255097;IntAct:25241761;SignaLink3:18988627;Lit-BM-17:26186194;SignaLink3:11042204;HINT:32707033;HPRD-phos:18669648;CA1:7923353;HINT:10922375;HINT:11042204;HINT:17255097;HINT:34686655;Lit-BM-17:10922375;Lit-BM-17:17395714;Lit-BM-17:25852190;SignaLink3:7592979;Lit-BM-17:23602568;HINT:32649858;ACSN:12738796;IntAct:21988832;ELM:23047924;KEA:7592979;HPRD:7592979;SignaLink3:23331499;Macrophage:17906627;SignaLink3:8846784;SPIKE_LC:9768359;phosphoELM:8846784;ELM:25255283;SPIKE:9768359;KEA:8846784;Lit-BM-17:17255097;Lit-BM-17:11042204;InnateDB:17255097;CA1:7592979;SignaLink3:9922370;ProtMapper:7592979;ACSN:15187187;BioGRID:17395714;SignaLink3:11551945;ACSN:18039929;HPRD-phos:7592979;HPRD:8846784;HPRD:9768359"
"MAPK14","TIAL1","True","False","True","SPIKE:21173571;SPIKE_LC:21173571"
"ZFP36","TNF","True","False","True","SPIKE:20599781;SPIKE_LC:20599781;BioGRID:21784977"
"NUMB","NOTCH1","True","True","True","NetPath:8755477;HPRD:12682059;HINT:8755477;SPIKE:16713569;BioGRID:8755477;SPIKE_LC:16713569;SPIKE:15358736;SPIKE_LC:8755477;HINT:23252402;SIGNOR:12682059;SPIKE:8755477;HPRD:8755477;SPIKE_LC:15358736"
"MAPK14","ZFP36","True","True","True","SPIKE:20599781;KEA:17570479;SIGNOR:25815583;SPIKE_LC:20599781"
"MAPKAPK2","ZFP36","True","True","True","dbPTM:18669648;ProtMapper:16508015;ProtMapper:23272005;ProtMapper:23602935;HPRD:14688255;ProtMapper:19416727;ProtMapper:18669648;ProtMapper:23028406;HPRD-phos:18669648;HPRD-phos:14688255;ProtMapper:27220464;ProtMapper:20595389;ProtMapper:33987205;ProtMapper:27597652;ProtMapper:28659609;SPIKE:20599781;ProtMapper:21776382;HINT:18326031;KEA:14688255;ProtMapper:34090459;SIGNOR:14688255;ProtMapper:15535838;ProtMapper:26926077;HINT:14688255;ProtMapper:27708140;SPIKE_LC:20599781;ProtMapper:29444957;ProtMapper:14688255;ProtMapper:22428854;dbPTM:15014438;ProtMapper:19542371;ProtMapper:25535763;ProtMapper:24705157"
"NOTCH1","JAG2","True","False","True","HPRD:11006133;SPIKE:16713569;SPIKE_LC:11006133;SPIKE_LC:16713569;SPIKE:15358736;SPIKE:11006133;NetPath:11006133;SPIKE_LC:15358736"
