"gene","rho_median","rho_mean","n_proteins"
"A1BG",-0.107229819658131,-0.107229819658131,1
"A2M",0.229940338255967,0.229940338255967,1
"ABL2",0.205238756727275,0.205238756727275,1
"ACAN",0.296555505157392,0.296555505157392,1
"ACAP2",-0.378569353000849,-0.378569353000849,1
"ACAT1",0.103998940758159,0.103998940758159,1
"ACE",0.346593940176084,0.346593940176084,1
"ACO1",0.409590289153498,0.409590289153498,1
"ACP3",0.13347041828252,0.13347041828252,1
"ACP5",0.310170692454216,0.310170692454216,1
"ACVR2A",0.469420989810003,0.469420989810003,1
"ACVR2B",-0.163332790595929,-0.163332790595929,1
"ACVRL1",-0.309858015214381,-0.309858015214381,1
"ADAM10",-0.176964191168417,-0.176964191168417,2
"ADAM12",0.330626705269831,0.330626705269831,1
"ADAM15",0.173564970301434,0.173564970301434,1
"ADAM17",0.219157562458471,0.219157562458471,1
"ADAM7",-0.308107034245459,-0.308107034245459,1
"ADAM9",0.482225219904574,0.482225219904574,1
"ADGRB1",0.480026549313213,0.480026549313213,1
"ADGRB2",0.57119852743021,0.57119852743021,1
"ADGRB3",0.494308514031462,0.494308514031462,1
"ADGRD1",0.185022614457575,0.185022614457575,1
"ADGRE2",0.19779032263136,0.19779032263136,1
"ADGRE5",0.323569153560192,0.323569153560192,2
"ADGRL3",0.437238216012126,0.437238216012126,1
"ADM",0.234159021310625,0.234159021310625,2
"ADSL",0.283551380223712,0.283551380223712,1
"AFAP1L2",0.298902983415024,0.298902983415024,1
"AFP",-0.257150926517191,-0.257150926517191,1
"AGAP2",0.439237923933137,0.439237923933137,1
"AGER",-0.101387765545239,-0.101387765545239,1
"AGR2",0.431757255882552,0.431757255882552,1
"AGRN",0.344662395567374,0.344662395567374,1
"AGRP",0.141139354789347,0.141139354789347,1
"AGT",-0.205100577358585,-0.205100577358585,1
"AHCYL1",-0.364591814851399,-0.364591814851399,1
"AHSA1",0.507787695068465,0.507787695068465,1
"AHSG",-0.134163998730986,-0.134163998730986,1
"AIFM1",-0.166711498159784,-0.166711498159784,1
"AIMP1",0.206500930615367,0.206500930615367,1
"AIP",-0.372297810577081,-0.372297810577081,1
"AKT1",0.500843349634375,0.500843349634375,1
"AKT1S1",0.344496997983041,0.344496997983041,1
"AKT2",0.26877658524964,0.26877658524964,1
"AKT3",0.590503328246596,0.590503328246596,1
"ALB",-0.233754478215216,-0.233754478215216,1
"ALCAM",0.440843201012172,0.440843201012172,1
"ALDH2",-0.106845184932221,-0.106845184932221,1
"ALDH6A1",0.2223647034583,0.2223647034583,1
"ALDOA",0.719591237184431,0.719591237184431,1
"ALG2",-0.137873392266074,-0.137873392266074,1
"ALK",0.481938920681002,0.481938920681002,1
"ALKAL2",0.129065959009706,0.129065959009706,1
"ALPI",0.489846915376144,0.489846915376144,1
"ALPL",0.345155313209612,0.345155313209612,1
"AMBP",-0.203113804538553,-0.203113804538553,1
"AMH",0.111590905686728,0.111590905686728,1
"AMIGO2",0.447255005444464,0.447255005444464,2
"AMPH",0.777372322534488,0.777372322534488,1
"ANGPT1",0.277994576587213,0.277994576587213,1
"ANGPT2",0.400214782799364,0.400214782799364,2
"ANGPT4",-0.354552650144113,-0.354552650144113,1
"ANGPTL1",0.246397375312897,0.246397375312897,2
"ANGPTL4",-0.117726277697822,-0.117726277697822,1
"ANGPTL7",-0.233361328067057,-0.233361328067057,1
"ANK2",0.200644886749458,0.200644886749458,1
"ANKRD2",-0.221855424300092,-0.221855424300092,1
"ANOS1",0.136322859549886,0.136322859549886,1
"ANP32A",-0.164566064304217,-0.164566064304217,1
"ANP32B",0.355220385924592,0.355220385924592,1
"ANXA4",-0.33932634816771,-0.33932634816771,1
"AP1B1",0.227619634924247,0.227619634924247,1
"AP2B1",0.627121494854876,0.627121494854876,1
"APAF1",0.206362400859313,0.206362400859313,1
"APCDD1",0.345034558345995,0.345034558345995,1
"APLP1",0.51662675481719,0.51662675481719,1
"APLP2",0.329815895900956,0.329815895900956,2
"APOA2",0.316748742279743,0.316748742279743,1
"APOA5",-0.357714268595618,-0.357714268595618,1
"APOC1",-0.143921691598972,-0.143921691598972,1
"APOD",0.202880655657455,0.202880655657455,1
"APOE",-0.0983631157092477,0.0300512641232481,3
"APOH",-0.101962427095102,-0.101962427095102,1
"APOM",-0.120088872451561,-0.120088872451561,1
"APTX",0.112770544932209,0.112770544932209,1
"ARAF",-0.104145885570242,-0.104145885570242,1
"ARF1",0.57482032316828,0.57482032316828,1
"ARF5",-0.153570750741489,-0.153570750741489,1
"ARFGAP2",0.521961174656083,0.521961174656083,1
"ARHGAP1",0.374904288001825,0.374904288001825,2
"ARHGAP22",-0.128309453936785,-0.128309453936785,1
"ARHGAP5",0.38552019144954,0.38552019144954,1
"ARHGDIB",0.31448169703871,0.31448169703871,1
"ARHGEF1",-0.343137720958996,-0.343137720958996,1
"ARHGEF2",-0.355116817591859,-0.355116817591859,1
"ARID1A",-0.197002462972626,-0.197002462972626,1
"ARID3A",-0.164130449857593,-0.164130449857593,1
"ARNT",0.182826394907055,0.182826394907055,1
"ARPC1B",0.188032763776545,0.188032763776545,1
"ARPC5",-0.129480218237792,-0.129480218237792,1
"ARRB1",0.163219413516647,0.163219413516647,1
"ARSA",0.112381210980121,0.112381210980121,1
"ARTN",0.188407974105089,0.188407974105089,1
"ASAP2",0.273881602787496,0.273881602787496,1
"ASAP3",0.23206192817144,0.23206192817144,1
"ASB8",-0.0970007057715726,-0.0970007057715726,1
"ASGR1",-0.384259474245962,-0.384259474245962,1
"ASPH",0.411598102465009,0.411598102465009,1
"ATF6",0.414085399488932,0.414085399488932,1
"ATG3",-0.407615926501397,-0.407615926501397,1
"ATG4A",-0.201862756302502,-0.201862756302502,1
"ATG5",-0.295136769383066,-0.295136769383066,1
"ATG7",-0.262792310417403,-0.262792310417403,1
"ATIC",0.111929077481766,0.111929077481766,1
"ATP1B1",0.487071033267415,0.487071033267415,1
"ATP5PO",-0.287991624977653,-0.287991624977653,1
"ATXN10",-0.0977374057191541,-0.0977374057191541,1
"ATXN3",0.523148113478906,0.523148113478906,1
"AURKB",-0.132822571422659,-0.132822571422659,1
"AXIN2",-0.155988826240043,-0.155988826240043,2
"B2M",-0.267418908998884,-0.267418908998884,1
"BACH2",0.174863458933475,0.174863458933475,1
"BAD",-0.29156389190048,-0.29156389190048,1
"BAG2",0.318910823693263,0.318910823693263,1
"BAG4",-0.106423944145687,-0.106423944145687,1
"BAG6",0.768862801795574,0.768862801795574,1
"BAIAP2",-0.191651202768147,-0.191651202768147,1
"BAMBI",0.370250159742002,0.370250159742002,2
"BCAM",0.423812234982449,0.423812234982449,1
"BCAN",0.276174703659915,0.276174703659915,1
"BCL10",-0.419595337983673,-0.419595337983673,1
"BCL2",-0.336252443879884,-0.336252443879884,1
"BCL2L1",0.272447097789534,0.272447097789534,1
"BCL2L2",0.078128592955041,0.078128592955041,2
"BDNF",-0.3815332026576,-0.3815332026576,1
"BEX4",0.137265316913521,0.137265316913521,1
"BGLAP",0.237716162067619,0.237716162067619,1
"BGN",0.183944397230455,0.183944397230455,2
"BICD1",0.227149832072137,0.227149832072137,1
"BICDL1",0.0974955303139956,0.0974955303139956,1
"BID",0.387449849183524,0.387449849183524,1
"BIRC2",0.333764460334709,0.333764460334709,1
"BIRC5",-0.140089329265567,-0.140089329265567,1
"BLK",0.16420002762881,0.16420002762881,1
"BLVRA",0.257578217945945,0.257578217945945,1
"BMI1",0.219872413822108,0.219872413822108,1
"BMP1",-0.0988689294565308,-0.0988689294565308,1
"BMP10",-0.348429929827793,-0.348429929827793,1
"BMP15",-0.150629322110987,-0.150629322110987,1
"BMP4",-0.0385755913153265,-0.0385755913153265,2
"BMP5",0.324939724721516,0.324939724721516,1
"BMP6",0.257595169570614,0.257595169570614,2
"BMP7",0.246898557302097,0.246898557302097,1
"BMPR1A",0.191919032891498,0.191919032891498,1
"BMPR1B",-0.146050026063478,-0.146050026063478,1
"BMPR2",0.52576501462628,0.52576501462628,1
"BNIP3L",0.2840041365882,0.2840041365882,1
"BOC",0.267584043421093,0.267584043421093,1
"BPI",-0.31612295089674,-0.31612295089674,1
"BRAF",-0.185880538467056,-0.185880538467056,1
"BRD2",-0.361140027194941,-0.361140027194941,1
"BSG",0.540364743370463,0.540364743370463,1
"BTC",0.332172620543463,0.332172620543463,1
"BTK",-0.350680532094688,-0.350680532094688,2
"BTLA",0.14778444438889,0.14778444438889,1
"BTN1A1",0.156838346273377,0.156838346273377,1
"BTN2A2",0.258561719767181,0.258561719767181,1
"BTN3A2",0.26603660922903,0.26603660922903,1
"BTN3A3",0.38437387596438,0.38437387596438,2
"BTNL8",-0.108171800447448,-0.108171800447448,1
"BUB1",0.101130228906481,0.101130228906481,1
"C1QBP",0.172295932701071,0.172295932701071,1
"C1QC",0.142888953893451,0.142888953893451,1
"C1QL1",0.341841827914602,0.341841827914602,1
"C1QL2",0.378989821304063,0.378989821304063,2
"C1QL3",0.64187129802477,0.64187129802477,1
"C1QL4",0.176055001896191,0.176055001896191,1
"C3",-0.151360918863981,-0.0644198412771797,3
"C5",-0.119208916824498,-0.119208916824498,1
"CABP2",0.110309819161234,0.110309819161234,1
"CACNB4",0.348680690684376,0.348680690684376,1
"CADM1",0.528332996220769,0.528332996220769,1
"CADM2",0.575966758449378,0.575966758449378,1
"CADM3",0.560732883256447,0.560732883256447,1
"CADPS2",0.113130037440679,0.113130037440679,1
"CALCB",0.200369075872488,0.200369075872488,1
"CALCR",-0.18679185174592,-0.18679185174592,1
"CALR",-0.305186186520111,-0.305186186520111,1
"CAMK1",0.221491229506531,0.221491229506531,1
"CAMK2A",0.135958447823508,0.135958447823508,1
"CAMK2B",0.325696535272552,0.325696535272552,1
"CAMK2D",0.17281342290366,0.17281342290366,1
"CAMK4",0.355561422217984,0.355561422217984,1
"CAMP",-0.267858353662898,-0.267858353662898,1
"CAND1",0.463482378946813,0.463482378946813,1
"CANX",-0.106445035385951,-0.106445035385951,1
"CAPN2",0.422953040458077,0.422953040458077,1
"CAPN3",-0.228085603570028,-0.228085603570028,1
"CAPNS1",0.44086951931836,0.44086951931836,1
"CARD9",-0.239135304125904,-0.239135304125904,1
"CASK",0.234379626731858,0.234379626731858,1
"CASP10",0.109113029641609,0.109113029641609,2
"CASP7",-0.144576266216556,-0.144576266216556,1
"CASQ2",0.21191665516524,0.21191665516524,1
"CAST",0.487640409798826,0.487640409798826,1
"CAV3",-0.200244326561593,-0.200244326561593,1
"CBL",0.313506764207412,0.313506764207412,1
"CBLC",-0.121013904130236,-0.121013904130236,1
"CBLN1",0.193015278689868,0.193015278689868,1
"CBLN2",0.2126414860313,0.2126414860313,1
"CBLN4",0.470248759310313,0.470248759310313,1
"CBR3",0.125545009330584,0.125545009330584,1
"CBS",0.325984109350332,0.325984109350332,1
"CBX5",-0.126227293963997,-0.126227293963997,1
"CCDC50",0.591306902336015,0.591306902336015,1
"CCDC80",0.289164088144632,0.289164088144632,1
"CCK",0.243309149565167,0.243309149565167,1
"CCL5",-0.317564479929186,-0.317564479929186,1
"CCL7",-0.340226967376425,-0.340226967376425,1
"CCN1",-0.179154405231789,-0.179154405231789,1
"CCNB1",-0.103592120972403,-0.103592120972403,1
"CCNE1",-0.199385281039563,-0.199385281039563,1
"CCNH",-0.250423561966836,-0.250423561966836,2
"CCPG1",0.48129986009392,0.48129986009392,1
"CD14",0.32185042403199,0.32185042403199,2
"CD163",0.392917706527506,0.392917706527506,1
"CD177",-0.107847597591475,-0.107847597591475,1
"CD1A",0.16279334406958,0.16279334406958,1
"CD1B",-0.192653663985484,-0.192653663985484,1
"CD1D",-0.149641838058588,-0.149641838058588,1
"CD2",-0.145039080925859,-0.145039080925859,1
"CD209",0.209559486833064,0.245995820773468,3
"CD22",-0.315671319723973,-0.315671319723973,1
