"protein_id","n_valid","raw_spearman_rho","residual_spearman_rho","p_value","age_effect_r2","fdr","significant_fdr05","significant_fdr01","sig_cat","direction","rho_shift","EntrezGeneSymbol","TargetFullName","Target","UniProt"
"X15545.13",493,0.854402413370591,0.873070723915803,2.82700962700801e-155,0.00628891184134879,1.98032024371911e-151,TRUE,TRUE,"FDR < 0.01","Positive",0.0186683105452112,"PPP3R1","Calcineurin subunit B type 1","Calcineurin B a","P63098"
"X4179.57",495,0.861415099354608,0.864276795643519,3.15061786014681e-149,0.0476510754930528,1.10350390551642e-145,TRUE,TRUE,"FDR < 0.01","Positive",0.00286169628891098,"YWHAG","14-3-3 protein gamma","14-3-3 protein gamma","P61981"
"X8901.40",494,0.855840755867983,0.855621294118145,8.11497588745988e-143,0.00465543633262495,1.89484686972188e-139,TRUE,TRUE,"FDR < 0.01","Positive",-0.000219461749838334,"YWHAG","14-3-3 protein gamma","14-3-3 protein gamma","P61981"
"X15325.14",495,0.847571239785383,0.852001040838053,1.16640096592737e-140,0.000264507715804721,2.04265969158031e-137,TRUE,TRUE,"FDR < 0.01","Positive",0.00442980105266944,"GAP43","Neuromodulin","NEUM","P17677"
"X18303.39",495,0.838740246401202,0.84636696071331,5.53658887609323e-137,2.03536445939404e-05,7.75676101540661e-134,TRUE,TRUE,"FDR < 0.01","Positive",0.0076267143121086,"NRGN","Neurogranin","NEUG","Q92686"
"X12414.31",495,0.846664021695696,0.84549431892386,1.99263472013224e-136,0.0411266179587648,2.32640103575439e-133,TRUE,TRUE,"FDR < 0.01","Positive",-0.0011697027718357,"YWHAB","14-3-3 protein beta/alpha","14-3-3 protein beta/alpha","P31946"
"X10900.272",495,0.844538984104637,0.843283824268544,4.93179589445968e-135,0.00817677326866414,4.93531860581286e-132,TRUE,TRUE,"FDR < 0.01","Positive",-0.00125515983609326,"STMN2","Stathmin-2","STMN2","Q93045"
"X5694.57",495,0.836928099070815,0.839386420031581,1.25367084549135e-132,0.00125216860418676,1.09774553408336e-129,TRUE,TRUE,"FDR < 0.01","Positive",0.00245832096076581,"SMOC1","SPARC-related modular calcium-binding protein 1","SMOC1","Q9H4F8"
"X17367.5",495,0.837781615021288,0.835950961884748,1.46388816835171e-130,0.0109294752328312,1.06957181598128e-127,TRUE,TRUE,"FDR < 0.01","Positive",-0.00183065313654052,"STMN1","Stathmin","Stathmin","P16949"
"X4707.50",494,0.837502764133791,0.836359327141366,1.52686911631874e-130,0.00582323449524402,1.06957181598128e-127,TRUE,TRUE,"FDR < 0.01","Positive",-0.00114343699242492,"YWHAH","14-3-3 protein eta","14-3-3 eta","Q04917"
