"protein_id","n_valid","loess_corr","loess_corr_abs","loess_mae_z","loess_converged","effective_span","rank","EntrezGeneSymbol","TargetFullName","Target","UniProt"
"X18240.6",490,0.990227172914798,0.990227172914798,0.0739736740577451,TRUE,0.75,1,"OMP","Olfactory marker protein","OMP","P47874"
"X23677.30",493,0.988912830872172,0.988912830872172,0.183921937413746,TRUE,0.75,2,"NCKIPSD","NCK-interacting protein with SH3 domain","SPN90","Q9NZQ3"
"X15612.5",493,0.988213166332575,0.988213166332575,0.0974810524566627,TRUE,0.75,3,"LIN7B","Protein lin-7 homolog B","LIN7B","Q9HAP6"
"X18218.48",494,0.982633013291599,0.982633013291599,0.0920119810067933,TRUE,0.75,4,"CNRIP1","CB1 cannabinoid receptor-interacting protein 1","CB032","Q96F85"
"X9282.12",491,0.978160256425528,0.978160256425528,0.160074880088927,TRUE,0.75,5,"CRISP2","Cysteine-rich secretory protein 2","CRIS2","P16562"
"X21717.44",491,0.975208443553709,0.975208443553709,0.19425408824771,TRUE,0.75,6,"UBE2Q2","Ubiquitin-conjugating enzyme E2 Q2","UB2Q2","Q8WVN8"
"X4903.72",494,0.975196773853489,0.975196773853489,0.312527193131003,TRUE,0.75,7,"PPP3CA|PPP3R1","Calcineurin","Calcineurin","Q08209|P63098"
"X15522.2",493,0.973458924388726,0.973458924388726,0.25784308911257,TRUE,0.75,8,"GLIPR2","Golgi-associated plant pathogenesis-related protein 1","GAPR1","Q9H4G4"
"X6555.58",486,0.972272449189104,0.972272449189104,0.152220405325384,TRUE,0.75,9,"STOML2","Stomatin-like protein 2, mitochondrial","Stomatin-like protein 2","Q9UJZ1"
"X10457.3",492,0.971997105042471,0.971997105042471,0.112820768668347,TRUE,0.75,10,"IL18RAP","Interleukin-18 receptor accessory protein","IL-18 Rb","O95256"
"X18910.45",491,0.971784687529068,0.971784687529068,0.304662422268377,TRUE,0.75,11,"LIN7A","Protein lin-7 homolog A","LIN7A","O14910"
"X20585.5",487,0.969447567073846,0.969447567073846,0.534802581782813,TRUE,0.75,12,"CD300LG","CMRF35-like molecule 9","CLM9","Q6UXG3"
"X14157.21",495,0.968603319685428,0.968603319685428,0.132841746216711,TRUE,0.75,13,"YWHAE","14-3-3 protein epsilon","14-3-3E","P62258"
"X22479.64",489,0.96840484622412,0.96840484622412,0.371909369616728,TRUE,0.75,14,"IP6K2","Inositol hexakisphosphate kinase 2","IP6K2","Q9UHH9"
"X17435.43",487,0.966969164466672,0.966969164466672,0.468932106261155,TRUE,0.75,15,"ETFA","Electron transfer flavoprotein subunit alpha, mitochondrial","ETFA","P13804"
"X14150.7",492,0.966893984249328,0.966893984249328,0.263972068232361,TRUE,0.75,16,"IL36A","Interleukin-36 alpha","IL-1F6","Q9UHA7"
"X22816.4",464,0.966676445170344,0.966676445170344,0.30498055677667,TRUE,0.75,17,"TRIM54","Tripartite motif-containing protein 54","TRI54","Q9BYV2"
"X10064.12",464,0.966384562897328,0.966384562897328,0.297641275137563,TRUE,0.75,18,"RBBP9","Putative hydrolase RBBP9","RBBP9","O75884"
"X11516.7",485,0.96414802366492,0.96414802366492,0.17057184567559,TRUE,0.75,19,"FABP1","Fatty acid-binding protein, liver","FABPL","P07148"
"X5013.2",493,0.96394936518191,0.96394936518191,0.180371662172395,TRUE,0.75,20,"CLIC1","Chloride intracellular channel protein 1","NCC27","O00299"
