"protein_id","n_valid","loess_corr","loess_corr_abs","loess_mae_z","loess_converged","effective_span","rank","EntrezGeneSymbol","TargetFullName","Target","UniProt"
"X13967.14",367,0.999813790319889,0.999813790319889,0.107746638696097,TRUE,0.75,1,"TXNRD1","Thioredoxin reductase 1, cytoplasmic","Thioredoxin reductase 1","Q16881"
"X7003.4",368,0.999034621660306,0.999034621660306,0.262316193063281,TRUE,0.75,2,"GALNT10","Polypeptide N-acetylgalactosaminyltransferase 10","GLT10","Q86SR1"
"X22970.8",367,0.998911389562426,0.998911389562426,0.171544532459107,TRUE,0.75,3,"GIPC1","PDZ domain-containing protein GIPC1","GIPC1","O14908"
"X13937.75",357,0.998806508052246,0.998806508052246,0.0867539876537526,TRUE,0.75,4,"CAND1","Cullin-associated NEDD8-dissociated protein 1","CAND1","Q86VP6"
"X9910.9",367,0.998606219330483,0.998606219330483,0.1597780638454,TRUE,0.75,5,"MTAP","S-methyl-5'-thioadenosine phosphorylase","MTAP","Q13126"
"X3815.14",367,0.998538727425566,0.998538727425566,0.207672331013903,TRUE,0.75,6,"IL12RB2","Interleukin-12 receptor subunit beta-2","IL-12 RB2","Q99665"
"X8975.26",366,0.998513743648928,0.998513743648928,0.102890661668447,TRUE,0.75,7,"CNOT9","Cell differentiation protein RCD1 homolog","RCD1","Q92600"
"X12499.108",368,0.998321363829882,0.998321363829882,0.0958732867921048,TRUE,0.75,8,"SH3GL2","Endophilin-A1","SH3G2","Q99962"
"X3504.58",366,0.998264075655166,0.998264075655166,0.137489634636449,TRUE,0.75,9,"HAMP","Hepcidin","LEAP-1","P81172"
"X25249.33",365,0.998240143749974,0.998240143749974,0.121334604331457,TRUE,0.75,10,"PDHA2","Pyruvate dehydrogenase E1 component subunit alpha, testis-specific form, mitochondrial","ODPAT","P29803"
"X15324.58",368,0.998061537631695,0.998061537631695,0.219716742722906,TRUE,0.75,11,"FTL","Ferritin light chain","Ferritin light chain","P02792"
"X17827.53",368,0.998042995817737,0.998042995817737,0.227096224234403,TRUE,0.75,12,"DYNLRB2","Dynein light chain roadblock-type 2","DLRB2","Q8TF09"
"X12340.17",367,0.997667887347743,0.997667887347743,0.0582499487138099,TRUE,0.75,13,"AARS1","Alanine--tRNA ligase, cytoplasmic","SYAC","P49588"
"X12621.55",365,0.997480524906686,0.997480524906686,0.156044763138117,TRUE,0.75,14,"PPP2R1A","Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform","PP2AAA","P30153"
"X16810.3",367,0.997380925328695,0.997380925328695,0.220696087946586,TRUE,0.75,15,"GDI1","Rab GDP dissociation inhibitor alpha","RhoGDI","P31150"
"X9514.46",368,0.997153951958883,0.997153951958883,0.146786194089192,TRUE,0.75,16,"EFCAB14","EF-hand calcium-binding domain-containing protein 14:C-term","K0494:C-term","O75071"
"X18313.4",354,0.997097077478491,0.997097077478491,0.36091881138312,TRUE,0.75,17,"ASRGL1","Isoaspartyl peptidase/L-asparaginase","Asparaginase-like protein 1","Q7L266"
"X9017.58",355,0.996939679169258,0.996939679169258,0.0482096315136732,TRUE,0.75,18,"LCT","Lactase-phlorizin hydrolase","LPH","P09848"
"X5934.1",368,0.996558446687228,0.996558446687228,0.252696079834157,TRUE,0.75,19,"FTH1|FTL","Ferritin","Ferritin","P02794|P02792"
"X11830.48",368,0.996381938250462,0.996381938250462,0.22242826441557,TRUE,0.75,20,"PTPN11","Tyrosine-protein phosphatase non-receptor type 11","SHP-2","Q06124"
"X15612.5",366,0.996359260284129,0.996359260284129,0.0930757820356327,TRUE,0.75,21,"LIN7B","Protein lin-7 homolog B","LIN7B","Q9HAP6"
