"protein_id","n_valid","loess_corr","loess_mae_z","loess_converged","rank","EntrezGeneSymbol","TargetFullName","Target","UniProt"
"X23665.35",97,0.998461265313369,0.211442140884645,TRUE,1,"PSMC3","26S protease regulatory subunit 6A","PRS6A","P17980"
"X8971.9",96,0.997585081774829,0.268251271418282,TRUE,2,"NRXN1","Neurexin-1","NRX1A","Q9ULB1"
"X11601.26",97,0.995712585403063,0.245853619534711,TRUE,3,"DHX8","ATP-dependent RNA helicase DHX8","DHX8","Q14562"
"X19209.6",96,0.995210896905398,0.173618500898264,TRUE,4,"NFKBIA","NF-kappa-B inhibitor alpha","IKB-alpha","P25963"
"X12882.7",97,0.995173370683816,0.122943477612267,TRUE,5,"PARP11","Poly [ADP-ribose] polymerase 11","PAR11","Q9NR21"
"X15372.43",97,0.994121244402359,0.136538304913114,TRUE,6,"BRD2","Bromodomain-containing protein 2","BRD2","P25440"
"X21567.214",97,0.994055486509768,0.205910686537293,TRUE,7,"C1QTNF4","Complement C1q tumor necrosis factor-related protein 4","C1QT4","Q9BXJ3"
"X10078.5",96,0.993908477933495,0.214100182458892,TRUE,8,"BAG3","BAG family molecular chaperone regulator 3","BAG3","O95817"
"X11590.5",97,0.99381875809644,0.132026547444417,TRUE,9,"RBM23","Probable RNA-binding protein 23","RBM23","Q86U06"
"X20934.13",97,0.992858692864611,0.276066348683411,TRUE,10,"RAB24","Ras-related protein Rab-24","RAB24","Q969Q5"
"X23002.27",94,0.992542921556159,0.202413539798351,TRUE,11,"NXPH1","Neurexophilin-1","NXPH1","P58417"
"X9310.2",97,0.992069598153518,0.220455680374288,TRUE,12,"CD8B","T-cell surface glycoprotein CD8 beta chain","CD8B","P10966"
"X6462.12",95,0.991894048635708,0.348765422775292,TRUE,13,"TIMP4","Metalloproteinase inhibitor 4","TIMP-4","Q99727"
"X3040.59",95,0.99169816603668,0.118876518583351,TRUE,14,"CCL3","C-C motif chemokine 3","MIP-1a","P10147"
"X9876.20",96,0.990815357482024,0.0724785572552086,TRUE,15,"ALDOC","Fructose-bisphosphate aldolase C","aldolase C","P09972"
"X12735.39",97,0.99051771188837,0.183717513575861,TRUE,16,"CSDE1","Cold shock domain-containing protein E1","CSDE1","O75534"
"X12939.1",97,0.990465105574296,0.263446106258248,TRUE,17,"POLR1C","DNA-directed RNA polymerases I and III subunit RPAC1","RPAC1","O15160"
"X25211.14",95,0.99029799029799,0.257536900030757,TRUE,18,"GNG12","Guanine nucleotide-binding protein G(I)/G(S)/G(O) gamma-12 subunit","GBG12","Q9UBI6"
"X16323.8",97,0.989991648747641,0.124072995519944,TRUE,19,"NRXN3","Neurexin-3","NRX3A","Q9Y4C0"
"X6209.2",96,0.989716456383123,0.336365164699056,TRUE,20,"AOC1","Amiloride-sensitive amine oxidase [copper-containing]","ABP1","P19801"
"X15403.53",97,0.989373524557285,0.313483241807841,TRUE,21,"ID2","DNA-binding protein inhibitor ID-2","ID2","Q02363"
"X11618.83",97,0.988926370887666,0.162649627827323,TRUE,22,"MYB","Transcriptional activator Myb","MYB","P10242"
"X17432.25",97,0.988834309838038,0.25059081601372,TRUE,23,"AK4","Adenylate kinase 4, mitochondrial","KAD4","P27144"
"X13634.209",97,0.987782183556581,0.206008442109768,TRUE,24,"PIR","Pirin","PIR","O00625"
"X15474.7",97,0.987321878308444,0.0995584760861474,TRUE,25,"PIN1","Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1","PIN1","Q13526"
"X10447.18",97,0.987071998316598,0.285077220000788,TRUE,26,"PABPC3","Polyadenylate-binding protein 3","PABP3","Q9H361"
"X21765.10",95,0.986784079295524,0.179547066165074,TRUE,27,"CYLD","Ubiquitin carboxyl-terminal hydrolase CYLD","CYLD","Q9NQC7"
"X25964.12",97,0.985165019431457,0.22831419490139,TRUE,28,"C1QTNF4","Complement C1q tumor necrosis factor-related protein 4","C1QT4","Q9BXJ3"
"X11110.4",97,0.984310166827774,0.169099896506856,TRUE,29,"TMEM119","Transmembrane protein 119","TM119","Q4V9L6"
"X9609.25",96,0.983638250676652,0.170737161079639,TRUE,30,"ZNF275","Zinc finger protein 275","ZN275","Q9NSD4"
"X2632.5",97,0.983613133166308,0.218495602194747,TRUE,31,"IL12RB1","Interleukin-12 receptor subunit beta-1","IL-12 Rb1","P42701"
"X15404.3",96,0.983407612419192,0.223406750518371,TRUE,32,"IFNA21","Interferon alpha-21","IFN21","P01568"
"X22531.44",97,0.983336950017426,0.153870062731088,TRUE,33,"PITX2","Pituitary homeobox 2","PITX2","Q99697"
"X25276.32",96,0.983176974161732,0.130815967034678,TRUE,34,"RABL6","Rab-like protein 6","RABL6","Q3YEC7"
"X8750.46",97,0.982534703727815,0.263903494188747,TRUE,35,"VCL","Vinculin","Vinculin","P18206"
"X7221.56",97,0.982179611107823,0.497568080458111,TRUE,36,"CKAP4","Cytoskeleton-associated protein 4","CKAP4","Q07065"
"X14051.54",97,0.982153307950787,0.408624592287321,TRUE,37,"FOXC2","Forkhead box protein C2","FOXC2","Q99958"
"X11513.92",97,0.982113853215232,0.227613720331181,TRUE,38,"CD38","ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1","CD38","P28907"
"X3067.67",97,0.982008640587086,0.177130658782875,TRUE,39,"GDF9","Growth/differentiation factor 9","GDF-9","O60383"
"X10833.64",97,0.981719305859686,0.1805534367771,TRUE,40,"HHIP","Hedgehog-interacting protein","HHIP","Q96QV1"
"X22521.13",95,0.981198112811323,0.288096987469666,TRUE,41,"OTX2","Homeobox protein OTX2","OTX2","P32243"
"X3868.8",97,0.980417299586383,0.193557860874675,TRUE,42,"SGTA","Small glutamine-rich tetratricopeptide repeat-containing protein alpha","SGTA","O43765"
"X6617.12",97,0.979970145916764,0.156646451363801,TRUE,43,"FCRL6","Fc receptor-like protein 6","FCRL6","Q6DN72"
"X9719.145",97,0.979075838577525,0.107082772599632,TRUE,44,"MMP16","Matrix metalloproteinase-16","MMP-16","P51512"
"X13487.24",97,0.978681291221979,0.269886893500677,TRUE,45,"UNC93B1","Protein unc-93 homolog B1","UN93B","Q9H1C4"
"X13043.157",95,0.978188130871215,0.317057168096215,TRUE,46,"ATAD2","ATPase family AAA domain-containing protein 2","ATAD2","Q6PL18"
"X7903.18",96,0.977628089026367,0.385493426209701,TRUE,47,"VAMP3","Vesicle-associated membrane protein 3","VAMP3","Q15836"
"X11167.6",97,0.977221466006457,0.263247064416475,TRUE,48,"MTMR1","Myotubularin-related protein 1","MTMR1","Q13613"
"X23281.29",96,0.977058276860878,0.197191450419845,TRUE,49,"ARL8A","ADP-ribosylation factor-like protein 8A","ARL8A","Q96BM9"
