"protein_id","n_valid","loess_corr","loess_mae_z","loess_converged","rank","EntrezGeneSymbol","TargetFullName","Target","UniProt"
"X12551.3",118,1,0.108569673880773,TRUE,1,"ITCH","E3 ubiquitin-protein ligase Itchy homolog","ITCH","Q96J02"
"X14066.49",125,1,0.154806652554649,TRUE,2,"MAGI2","Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2","MAGI2","Q86UL8"
"X4707.50",125,1,0.0770716290482967,TRUE,3,"YWHAH","14-3-3 protein eta","14-3-3 eta","Q04917"
"X8660.33",124,1,0.15216928865912,TRUE,4,"OLFML3","Olfactomedin-like protein 3","OLFL3","Q9NRN5"
"X17332.3",125,0.99999385492712,0.141544155646277,TRUE,5,"ADPRS","Poly(ADP-ribose) glycohydrolase ARH3","ARHL2","Q9NX46"
"X7745.3",125,0.99999385492712,0.145257627356833,TRUE,6,"CISD1","CDGSH iron-sulfur domain-containing protein 1","ZCD1","Q9NZ45"
"X12968.2",124,0.99999370503031,0.1115050032079,TRUE,7,"CSRP2","Cysteine and glycine-rich protein 2","CSRP2","Q16527"
"X12612.37",125,0.999987709854239,0.176353616892542,TRUE,8,"PSMB1","Proteasome subunit beta type-1","PSB1","P20618"
"X19121.3",125,0.999987709854239,0.019754301729446,TRUE,9,"UBQLN2","Ubiquilin-2","UBQL2","Q9UHD9"
"X3896.5",121,0.999986450048102,0.101619149081764,TRUE,10,"PGAM1","Phosphoglycerate mutase 1","Phosphoglycerate mutase 1","P18669"
"X18907.97",125,0.999981564781358,0.119389909487265,TRUE,11,"KIR3DL1","Killer cell immunoglobulin-like receptor 3DL1","KI3L1","P43629"
"X16919.1",125,0.999975419708478,0.101722371175992,TRUE,12,"DBI","Acyl-CoA-binding protein","ACBP","P07108"
"X17325.10",125,0.999975419708478,0.113003617502888,TRUE,13,"GUK1","Guanylate kinase","KGUA","Q16774"
"X19392.6",125,0.999975419708478,0.0568383653090414,TRUE,14,"DDAH1","N(G),N(G)-dimethylarginine dimethylaminohydrolase 1","DDAH1","O94760"
"X21118.48",125,0.999950839416956,0.0880481507820123,TRUE,15,"GCHFR","GTP cyclohydrolase I feedback regulatory protein","GFRP","P30047"
"X22049.24",125,0.999950839416956,0.0658323357300124,TRUE,16,"YWHAH","14-3-3 protein eta","14-3-3 eta","Q04917"
"X7832.181",125,0.999950839416956,0.0752625118634635,TRUE,17,"PDIA3","Protein disulfide-isomerase A3","Protein disulfide isomerase A3","P30101"
"X6520.87",125,0.999926259125433,0.156228564392965,TRUE,18,"MGP","Matrix Gla protein","MGP","P08493"
"X9038.12",125,0.999926259125433,0.0896896398673134,TRUE,19,"JTB","Protein JTB","JTB","O76095"
"X21661.82",125,0.999920114052553,0.131110996545642,TRUE,20,"FAM20C","Dentin matrix protein 4","DMP4","Q8IXL6"
"X3855.56",120,0.999916652196562,0.119513479963496,TRUE,21,"PRDX1","Peroxiredoxin-1","Peroxiredoxin-1","Q06830"
"X10620.21",123,0.999916152834034,0.10157440791324,TRUE,22,"MSMB","Beta-microseminoprotein","PSP-94","P08118"
"X17450.51",125,0.999901678833911,0.050807584443897,TRUE,23,"HARS1","Histidine--tRNA ligase, cytoplasmic","Histidyl-tRNA synthetase","P12081"
"X19158.1",125,0.999901678833911,0.06986208257372,TRUE,24,"PCLAF","PCNA-associated factor","PAF","Q15004"
"X21232.39",120,0.999881922304876,0.0938104744486752,TRUE,25,"KLK3","Benign Prostate specific Antigen","BPSA","P07288"
"X15339.32",125,0.999877098542389,0.286683904558437,TRUE,26,"CFL2","Cofilin-2","COF2","Q9Y281"
"X8957.72",125,0.999877098542389,0.10295862157193,TRUE,27,"ERLEC1","Endoplasmic reticulum lectin 1","XTP3B","Q96DZ1"
"X23265.15",125,0.999852518250867,0.0378815947665786,TRUE,28,"TPD52L2","Tumor protein D54","TPD54","O43399"
"X9816.37",125,0.999852518250867,0.309998892785212,TRUE,29,"ISOC1","Isochorismatase domain-containing protein 1","ISOC1","Q96CN7"
"X18236.3",124,0.999848920727447,0.133431999172789,TRUE,30,"LGALSL","Galectin-related protein","LEGL","Q3ZCW2"
"X9453.12",125,0.999846373177986,0.0763869218502934,TRUE,31,"VEGFB","Vascular endothelial growth factor B","VEGF-B","P49765"
"X10001.7",123,0.999845205731258,0.0473800675404449,TRUE,32,"RAF1","RAF proto-oncogene serine/threonine-protein kinase","c-Raf","P04049"
"X3362.61",125,0.999821792886464,0.134135012478149,TRUE,33,"CHRDL1","Chordin-like protein 1","CRDL1","Q9BU40"
"X24293.39",124,0.999817445878998,0.153094802134406,TRUE,34,"SCP2","Nonspecific lipid-transfer protein:isoform 6","NLTP:isoform 6","P22307"
"X9207.60",124,0.999817445878998,0.218530570803074,TRUE,35,"CRYZL1","Quinone oxidoreductase-like protein 1","QORL1","O95825"
"X3554.24",125,0.999815647813583,0.173541948129699,TRUE,36,"ADIPOQ","Adiponectin","Adiponectin","Q15848"
"X4891.50",120,0.999798573343613,0.171118163226617,TRUE,37,"GCG","Glucagon","Glucagon","P01275"
"X4250.23",125,0.999791067522061,0.0758412567114653,TRUE,38,"NSFL1C","NSFL1 cofactor p47","NSF1C","Q9UNZ2"
"X21955.36",124,0.9997859717042,0.188512640986969,TRUE,39,"BAG6","Large proline-rich protein BAT3","BAT3","P46379"
"X17706.4",123,0.999754909074491,0.0799604636154471,TRUE,40,"PPP1R1A","Protein phosphatase 1 regulatory subunit 1A","PPR1A","Q13522"
"X25451.39",124,0.999735612105188,0.0414147046644171,TRUE,41,"YAP1","Transcriptional coactivator YAP1","YAP1","P46937"
"X5029.3",122,0.999722392972576,0.058830185575879,TRUE,42,"FAP","Prolyl endopeptidase FAP","SEPR","Q12884"
"X12387.7",124,0.999716726363963,0.10187505448931,TRUE,43,"PDLIM4","PDZ and LIM domain protein 4","PDLI4","P50479"
"X17686.27",125,0.999705036501733,0.135728172245695,TRUE,44,"TBCB","Tubulin-folding cofactor B","TBCB","Q99426"
"X9971.5",125,0.999705036501733,0.274718768288101,TRUE,45,"CSMD2","CUB and sushi domain-containing protein 2","CSMD2","Q7Z408"
"X15367.38",125,0.999698891428852,0.168354948467715,TRUE,46,"BPIFB1","BPI fold-containing family B member 1","LPLC1","Q8TDL5"
"X25286.33",122,0.999669515443543,0.110867322240023,TRUE,47,"RABGAP1L","Rab GTPase-activating protein 1-like","RBG1L","Q5R372"
"X25280.2",125,0.99966816606445,0.136931031861754,TRUE,48,"LIMD1","LIM domain-containing protein 1","LIMD1","Q9UGP4"
"X9121.28",125,0.99966816606445,0.0902728005334886,TRUE,49,"FUT2","Galactoside 2-alpha-L-fucosyltransferase 2","FUT2","Q10981"
"X16803.4",122,0.99964968521242,0.090593063235892,TRUE,50,"CALB2","Calretinin","CALB2","P22676"
"X12546.1",125,0.999612860408524,0.103383965432807,TRUE,51,"SMTN","Smoothelin","SMTN","P53814"
"X3642.4",125,0.999575989971241,0.0518574059461836,TRUE,52,"CD84","SLAM family member 5","SLAF5","Q9UIB8"
"X6440.31",125,0.999575989971241,0.0549160146190845,TRUE,53,"MFAP5","Microfibrillar-associated protein 5","MFAP5","Q13361"
"X8485.7",125,0.999575989971241,0.122432083259861,TRUE,54,"KEAP1","Kelch-like ECH-associated protein 1","KEAP1","Q14145"
