"protein_id","n_valid","loess_corr","loess_mae_z","loess_converged","rank","EntrezGeneSymbol","TargetFullName","Target","UniProt"
"X19223.6",146,0.997350651153643,0.0729844798869531,TRUE,1,"RAB1A","Ras-related protein Rab-1A","RAB1A","P62820"
"X19194.9",146,0.996417401632801,0.0950374538204397,TRUE,2,"DTD1","D-tyrosyl-tRNA(Tyr) deacylase 1","Histidyl-tRNA synthetase-related","Q8TEA8"
"X21162.30",130,0.996159613666968,0.140953913150859,TRUE,3,"TBCEL","Tubulin-specific chaperone cofactor E-like protein","TBCEL","Q5QJ74"
"X9854.36",145,0.995642023959026,0.111995077927991,TRUE,4,"AKR1B1","Aldose reductase","Aldose reductase","P15121"
"X6506.54",145,0.994720815380103,0.0831614957976553,TRUE,5,"TMED10","Transmembrane emp24 domain-containing protein 10","TMEDA","P49755"
"X11101.18",144,0.994405065987665,0.196968464018035,TRUE,6,"TLR4","Toll-like receptor 4","TLR4","O00206"
"X7183.102",145,0.994126377368444,0.208732137749416,TRUE,7,"ANGPTL8","Angiopoietin-like protein 8","TD26","Q6UXH0"
"X15370.5",144,0.994023251841357,0.143328807288773,TRUE,8,"BOLA1","BolA-like protein 1","BOLA1","Q9Y3E2"
"X24435.1",146,0.993968585741336,0.198184334423531,TRUE,9,"DNM1","Dynamin-1","Dynamin","Q05193"
"X23224.11",146,0.993710206741764,0.104042376589205,TRUE,10,"RGN","Regucalcin","RGN","Q15493"
"X20445.29",146,0.99357523263751,0.162400188445753,TRUE,11,"AP1AR","AP-1 complex-associated regulatory protein","AP1AR","Q63HQ0"
"X10924.258",146,0.993509673786872,0.107005706726701,TRUE,12,"CYB5D2","Neuferricin","NEUFC","Q8WUJ1"
"X12760.34",146,0.993432545727298,0.114871761606228,TRUE,13,"ZNF774","Zinc finger protein 774","ZN774","Q6NX45"
"X24908.19",146,0.992537860236243,0.13386211705808,TRUE,14,"AMPH","Amphiphysin","AMPH","P49418"
"X3291.30",144,0.991101160989001,0.153029769621455,TRUE,15,"FCER2","Low affinity immunoglobulin epsilon Fc receptor","CD23","P06734"
"X7187.3",145,0.990984855344327,0.119941106250333,TRUE,16,"PPM1L","Protein phosphatase 1L","PPM1L","Q5SGD2"
"X2666.53",146,0.989942501031588,0.149059196738327,TRUE,17,"DCN","Decorin","Bone proteoglycan II","P07585"
"X21108.5",138,0.989852676573474,0.0659852067519355,TRUE,18,"CPPED1","Uncharacterized metallophosphoesterase CSTP1","CSTP1","Q9BRF8"
"X10024.44",143,0.989550520524444,0.171003690507105,TRUE,19,"HOGA1","4-hydroxy-2-oxoglutarate aldolase, mitochondrial","HOGA1","Q86XE5"
"X18340.2",146,0.98899768230181,0.248490787880519,TRUE,20,"PSMB4","Proteasome subunit beta type-4","Proteasome beta chain","P28070"
"X2677.1",146,0.988889703018407,0.101309288106983,TRUE,21,"EGFR","Epidermal growth factor receptor","ERBB1","P00533"
"X24656.6",146,0.988399939840113,0.162556088648335,TRUE,22,"PHETA2","Sesquipedalian-2","SESQ2","Q6ICB4"
"X16908.5",146,0.987914033064799,0.223307351543483,TRUE,23,"OMG","Oligodendrocyte-myelin glycoprotein","OMGP","P23515"
"X11122.97",146,0.98770578730395,0.31581993464361,TRUE,24,"SPG21","Maspardin","SPG21","Q9NZD8"
"X14124.6",146,0.987640228453312,0.111601339049859,TRUE,25,"EFNA2","Ephrin-A2","Ephrin-A2","O43921"
"X20385.21",146,0.987543818378845,0.17405442734522,TRUE,26,"CPTP","Ceramide-1-phosphate transfer protein","CPTP","Q5TA50"
"X12522.6",146,0.987358711035868,0.254756652053218,TRUE,27,"RAD23B","UV excision repair protein RAD23 homolog B","RD23B","P54727"
