"protein_id","n","spearman_rho","p_value","fdr","significant_fdr05","significant_fdr01","direction","EntrezGeneSymbol","TargetFullName","Target","UniProt"
"X4179.57",495,0.861415099354608,3.70773956313887e-147,2.59727156397878e-143,TRUE,TRUE,"Positive","YWHAG","14-3-3 protein gamma","14-3-3 protein gamma","P61981"
"X8901.40",494,0.855840755867983,5.74502138179516e-143,2.01219373897375e-139,TRUE,TRUE,"Positive","YWHAG","14-3-3 protein gamma","14-3-3 protein gamma","P61981"
"X15545.13",493,0.854402413370591,1.05346189604342e-141,2.45983352726138e-138,TRUE,TRUE,"Positive","PPP3R1","Calcineurin subunit B type 1","Calcineurin B a","P63098"
"X15325.14",495,0.847571239785383,9.33181494053906e-138,1.6342340914619e-134,TRUE,TRUE,"Positive","GAP43","Neuromodulin","NEUM","P17677"
"X12414.31",495,0.846664021695696,3.57368794808302e-137,5.00673681526431e-134,TRUE,TRUE,"Positive","YWHAB","14-3-3 protein beta/alpha","14-3-3 protein beta/alpha","P31946"
"X10900.272",495,0.844538984104637,8.02374104660913e-136,9.36771767191615e-133,TRUE,TRUE,"Positive","STMN2","Stathmin-2","STMN2","Q93045"
"X18303.39",495,0.838740246401202,3.09550159181872e-132,3.09771266438431e-129,TRUE,TRUE,"Positive","NRGN","Neurogranin","NEUG","Q92686"
"X17367.5",495,0.837781615021288,1.17465068603234e-131,1.02855350695707e-128,TRUE,TRUE,"Positive","STMN1","Stathmin","Stathmin","P16949"
"X4707.50",494,0.837502764133791,3.16647420093706e-131,2.46457241972935e-128,TRUE,TRUE,"Positive","YWHAH","14-3-3 protein eta","14-3-3 eta","Q04917"
"X5694.57",495,0.836928099070815,3.82302487601264e-131,2.67802892564685e-128,TRUE,TRUE,"Positive","SMOC1","SPARC-related modular calcium-binding protein 1","SMOC1","Q9H4F8"
"X19620.16",494,0.836012477094321,2.45475937695316e-130,1.56323540323244e-127,TRUE,TRUE,"Positive","DLG2","Disks large homolog 2","DLG2","Q15700"
"X17156.72",495,0.828938850220514,1.7389669596439e-126,9.37035657869653e-124,TRUE,TRUE,"Positive","DCLK1","Serine/threonine-protein kinase DCLK1","DCAK1","O15075"
"X19113.66",494,0.829434236265547,1.62887867710139e-126,9.37035657869653e-124,TRUE,TRUE,"Positive","SH3BGRL2","SH3 domain-binding glutamic acid-rich-like protein 2","SH3L2","Q9UJC5"
"X19290.5",495,0.825352701712273,1.79115431025597e-124,8.96216853095934e-122,TRUE,TRUE,"Positive","HPRT1","Hypoxanthine-guanine phosphoribosyltransferase","HPRT","P00492"
"X21173.25",492,0.824511671691965,2.89571082253632e-123,1.35229695412446e-120,TRUE,TRUE,"Positive","ELAVL2","ELAV-like protein 2","ELAV2","Q12926"
