"protein_id","EntrezGeneSymbol","TargetFullName","spearman_rho","p_value","fdr","n"
"X4179.57",NA,NA,0.861415099354608,3.70773956313887e-147,2.59727156397878e-143,495
"X8901.40",NA,NA,0.855840755867983,5.74502138179516e-143,2.01219373897375e-139,494
"X15545.13",NA,NA,0.854402413370591,1.05346189604342e-141,2.45983352726138e-138,493
"X15325.14",NA,NA,0.847571239785383,9.33181494053906e-138,1.6342340914619e-134,495
"X12414.31",NA,NA,0.846664021695696,3.57368794808302e-137,5.00673681526431e-134,495
"X10900.272",NA,NA,0.844538984104637,8.02374104660913e-136,9.36771767191615e-133,495
"X18303.39",NA,NA,0.838740246401202,3.09550159181872e-132,3.09771266438431e-129,495
"X17367.5",NA,NA,0.837781615021288,1.17465068603234e-131,1.02855350695707e-128,495
"X4707.50",NA,NA,0.837502764133791,3.16647420093706e-131,2.46457241972935e-128,494
"X5694.57",NA,NA,0.836928099070815,3.82302487601264e-131,2.67802892564685e-128,495
"X19620.16",NA,NA,0.836012477094321,2.45475937695316e-130,1.56323540323244e-127,494
"X17156.72",NA,NA,0.828938850220514,1.7389669596439e-126,9.37035657869653e-124,495
"X19113.66",NA,NA,0.829434236265547,1.62887867710139e-126,9.37035657869653e-124,494
"X19290.5",NA,NA,0.825352701712273,1.79115431025597e-124,8.96216853095934e-122,495
"X21173.25",NA,NA,0.824511671691965,2.89571082253632e-123,1.35229695412446e-120,492
"X4250.23",NA,NA,0.817456078186944,3.36754281385339e-120,1.47435233819019e-117,495
"X4903.72",NA,NA,0.814686278598969,1.63964117529246e-118,6.75628613701395e-116,494
"X14623.26",NA,NA,0.812652528578685,1.0645654468425e-117,4.14293386396207e-115,495
"X14157.21",NA,NA,0.811755333441431,3.06265242555446e-117,1.12915159163205e-114,495
"X13967.14",NA,NA,0.808346414490167,2.74235983825773e-115,9.6051153334977e-113,494
"X25276.32",NA,NA,0.807844410025485,8.28395810141994e-115,2.76329173811651e-112,493
"X5858.6",NA,NA,0.805282485773331,5.31611712808273e-114,1.69270002191907e-111,495
"X9169.14",NA,NA,0.797715570650597,2.29834384367858e-110,6.99995592389934e-108,495
"X21889.2",NA,NA,0.796845455834683,1.61472323122195e-109,4.71297343112906e-107,493
"X9099.19",NA,NA,0.795521290414098,1.09882487488603e-108,3.07890729943067e-106,492
"X17775.8",NA,NA,0.793074077018778,3.27947132619768e-108,8.83565255385183e-106,495
"X19392.6",NA,NA,0.792143732365316,8.72946852318884e-108,2.26481211129399e-105,495
"X4276.10",NA,NA,0.790849869244503,9.03774794687836e-107,2.26105087028153e-104,493
"X19196.73",NA,NA,0.786185908203428,1.74374278057978e-104,4.21204075102115e-102,492
"X14066.49",NA,NA,0.783458654241573,6.42518608020411e-104,1.50028094972766e-101,495
