"EntrezGeneSymbol","rho_median","Category1","is_MAPT","priority_score","Group"
"PRKCB",0.690745373766401,"Tau Kinases",TRUE,5.49225324518745,"CN"
"PRKCG",0.781426082399611,"Tau Kinases",TRUE,3.50863509478966,"CN"
"MAPK8",0.387262428646957,"Tau Kinases",TRUE,3.3549202346788,"CN"
"RAF1",0.768825087982526,"Growth Factor Signaling",FALSE,3.29409868902638,"CN"
"RPS6KA3",-0.38543149691447,"Tau Kinases",TRUE,3.24498701769593,"CN"
"GRB2",0.752035740941442,"Growth Factor Signaling",FALSE,3.14692256573923,"CN"
"PPP3R1",0.860441569029679,"Tau Phosphatases",TRUE,3.00632344160143,"CN"
"PDPK1",-0.450118191752313,"Tau Kinases",TRUE,2.9555781646728,"CN"
"PRKCZ",-0.439143785518738,"Tau Kinases",TRUE,2.88351772359635,"CN"
"EGFR",0.497130083182447,"Growth Factor Signaling",FALSE,2.86350002090771,"CN"
"PIN1",0.798090641927135,"Tau Folding/Stability",TRUE,2.78847360670172,"CN"
"NRXN1",0.722456359527762,"Others",FALSE,2.78156361997599,"CN"
"STMN1",0.858640980984403,"Synaptic Proteins",FALSE,2.67661049413349,"CN"
"MAPK1",0.304911565625869,"Tau Kinases",TRUE,2.59040127317784,"CN"
"IGF1R",0.514954469257325,"Growth Factor Signaling",FALSE,2.54833522067988,"CN"
"GSK3B",-0.260207406097045,"Tau Kinases",TRUE,2.44172371710586,"CN"
"INSR",0.449411385686986,"Growth Factor Signaling",FALSE,2.40171557558731,"CN"
"FGFR1",0.516797122844184,"Growth Factor Signaling",FALSE,2.36913686520282,"CN"
"IKBKB",0.664141887370597,"Others",FALSE,2.36125557181697,"CN"
"AKT1",0.417689409485,"Growth Factor Signaling",FALSE,2.32221358956122,"CN"
"PRKCB",0.578454093949855,"Tau Kinases",TRUE,5.1127064294466,"non-CN"
"MAPK8",0.547664621664702,"Tau Kinases",TRUE,5.10384587650044,"non-CN"
"PRKCG",0.771124997216666,"Tau Kinases",TRUE,4.77881966460888,"non-CN"
"PIN1",0.736574861006015,"Tau Folding/Stability",TRUE,3.68409057209641,"non-CN"
"RPS6KA3",-0.384688751382711,"Tau Kinases",TRUE,3.52603274949049,"non-CN"
"RAF1",0.746725883847962,"Growth Factor Signaling",FALSE,3.45133155068367,"non-CN"
"MAPK1",0.347661412571773,"Tau Kinases",TRUE,3.26786050127926,"non-CN"
"GRB2",0.671459771250801,"Growth Factor Signaling",FALSE,3.07815200056861,"non-CN"
"AKT1",0.494561865064468,"Growth Factor Signaling",FALSE,2.99217270392299,"non-CN"
"PPP3R1",0.852493063249972,"Tau Phosphatases",TRUE,2.97855191113227,"non-CN"
"STMN1",0.843147219885534,"Synaptic Proteins",FALSE,2.96827049788073,"non-CN"
"GSK3B",-0.276262233394106,"Tau Kinases",TRUE,2.826631448253,"non-CN"
"PRKG1",0.394589727222968,"Tau Kinases",TRUE,2.6903876315786,"non-CN"
"PDPK1",-0.386640465850685,"Tau Kinases",TRUE,2.63618805921089,"non-CN"
"EGFR",0.429954679977053,"Growth Factor Signaling",FALSE,2.6118360139412,"non-CN"
"NRXN1",0.651560512112483,"Others",FALSE,2.61102006237542,"non-CN"
"IGF1R",0.447809955187429,"Growth Factor Signaling",FALSE,2.4477741775063,"non-CN"
"HSP90AA1",0.585796281281904,"Tau Folding/Stability",FALSE,2.38778910717388,"non-CN"
"AKT3",0.587200265046134,"Growth Factor Signaling",FALSE,2.35957923224511,"non-CN"
"INSR",0.408610220951527,"Growth Factor Signaling",FALSE,2.34725846823175,"non-CN"
