"EntrezGeneSymbol","rho_median","Category1","is_MAPT","priority_score","Group"
"PRKCB",0.557033591333654,"Tau Kinases",TRUE,4.61478139676326,"CN"
"MAPK8",0.524563609206342,"Tau Kinases",TRUE,4.55634756404344,"CN"
"PRKCG",0.750421822272216,"Tau Kinases",TRUE,4.05719160864141,"CN"
"GSK3B",-0.353090772112021,"Tau Kinases",TRUE,3.39751856148072,"CN"
"RPS6KA3",-0.388808814490288,"Tau Kinases",TRUE,3.39461463687644,"CN"
"RAF1",0.773212018202706,"Growth Factor Signaling",FALSE,3.31289487727912,"CN"
"GRB2",0.710887701537308,"Growth Factor Signaling",FALSE,3.01098298709098,"CN"
"EGFR",0.479922431571054,"Growth Factor Signaling",FALSE,2.80742747816939,"CN"
"PDPK1",-0.431188508905378,"Tau Kinases",TRUE,2.80177617351493,"CN"
"NRXN1",0.741147590926134,"Others",FALSE,2.71523988823837,"CN"
"PIN1",0.657425417911542,"Tau Folding/Stability",TRUE,2.6658015628949,"CN"
"PRKG1",0.414199675436403,"Tau Kinases",TRUE,2.59985177776446,"CN"
"STMN1",0.861501687289089,"Synaptic Proteins",FALSE,2.5787852255634,"CN"
"IGF1R",0.476682602174728,"Growth Factor Signaling",FALSE,2.48329381367308,"CN"
"PPP3R1",0.784980175789673,"Tau Phosphatases",TRUE,2.46358486807891,"CN"
"IKBKB",0.660546413340545,"Others",FALSE,2.3670805819351,"CN"
"FGFR1",0.509748781402325,"Growth Factor Signaling",FALSE,2.33682537427086,"CN"
"INSR",0.41081974128234,"Growth Factor Signaling",FALSE,2.23755074033611,"CN"
"NTRK2",0.624162214098238,"Synaptic Proteins",FALSE,2.19734139223187,"CN"
"AKT1",0.374639507763284,"Growth Factor Signaling",FALSE,2.16371048386411,"CN"
"PRKCB",0.587795997084499,"Tau Kinases",TRUE,5.11883368521004,"non-CN"
"MAPK8",0.517528275755783,"Tau Kinases",TRUE,4.77078588996182,"non-CN"
"PRKCG",0.763495340649761,"Tau Kinases",TRUE,4.5327334566257,"non-CN"
"PIN1",0.778881979878248,"Tau Folding/Stability",TRUE,3.89569602596281,"non-CN"
"MAPK1",0.409845321002185,"Tau Kinases",TRUE,3.79906156068431,"non-CN"
"RPS6KA3",-0.392113647287849,"Tau Kinases",TRUE,3.53635416892688,"non-CN"
"RAF1",0.727681543675349,"Growth Factor Signaling",FALSE,3.33588771114105,"non-CN"
"AKT1",0.534758079835602,"Growth Factor Signaling",FALSE,3.22199640659531,"non-CN"
"STMN1",0.835236231280023,"Synaptic Proteins",FALSE,3.01049652182896,"non-CN"
"PPP3R1",0.857649835997869,"Tau Phosphatases",TRUE,2.99656931911559,"non-CN"
"GRB2",0.644749173181556,"Growth Factor Signaling",FALSE,2.90488946513448,"non-CN"
"DLG4",0.682162778158289,"Synaptic Proteins",FALSE,2.61116267638946,"non-CN"
"PDPK1",-0.386817988403399,"Tau Kinases",TRUE,2.59023964415181,"non-CN"
"YWHAB",0.812912891152645,"Synaptic Proteins",FALSE,2.53406397255932,"non-CN"
"AKT3",0.616598252269465,"Growth Factor Signaling",FALSE,2.4777107867609,"non-CN"
"MAPK3",0.268321701573681,"Tau Kinases",TRUE,2.44495169884949,"non-CN"
"HSP90AA1",0.620031955226725,"Tau Folding/Stability",FALSE,2.41468466057973,"non-CN"
"NRXN1",0.597925855258373,"Others",FALSE,2.39608812208538,"non-CN"
"PRKCZ",-0.34839962356324,"Tau Kinases",TRUE,2.39573622468286,"non-CN"
"PRKG1",0.357413327108176,"Tau Kinases",TRUE,2.34685699160826,"non-CN"
