"Rank","Gene","PTAU_rho","Mean_Rho","Degree","Functional_Category","MAPT_Interactor","N_Proteins","Priority_Score"
1,"MAPK8",0.348693065018846,0.348693065018846,102,"Tau Kinases",TRUE,1,3.1513908200531
2,"MAPK1",0.305705961811234,0.305705961811234,102,"Tau Kinases",TRUE,1,2.76288535200824
3,"PRKCB",0.315719702957729,0.315719702957729,80,"Tau Kinases",TRUE,1,2.70545765446325
4,"PRKCG",0.465450432255264,0.465450432255264,17,"Tau Kinases",TRUE,1,2.6233833289778
5,"PIN1",0.488544599654496,0.488544599654496,10,"Tau Folding/Stability",TRUE,1,2.28438363282224
6,"RAF1",0.442839610616696,0.442839610616696,32,"Growth Factor Signaling",FALSE,1,2.01290966114959
7,"STMN1",0.531079502205179,0.531079502205179,15,"Synaptic Proteins",FALSE,1,1.91420454995483
8,"AKT1",0.310587388993217,0.310587388993217,86,"Growth Factor Signaling",FALSE,1,1.8031711646735
9,"DLG4",0.469203212382189,0.469203212382189,18,"Synaptic Proteins",FALSE,1,1.7960022959947
10,"PPP3R1",0.551516008028066,0.551516008028066,4,"Tau Phosphatases",TRUE,1,1.73088000663763
11,"RPS6KA3",-0.193957849367555,-0.193957849367555,94,"Tau Kinases",TRUE,1,1.72235732794992
12,"YWHAB",0.550058402729659,0.550058402729659,10,"Synaptic Proteins",FALSE,2,1.71467717676901
13,"GRB2",0.344473992710551,0.344473992710551,30,"Growth Factor Signaling",FALSE,1,1.53779506821972
14,"MAPK3",0.173202509976179,0.173202509976179,92,"Tau Kinases",TRUE,1,1.53086233741526
15,"AKT3",0.372341832030813,0.372341832030813,20,"Growth Factor Signaling",FALSE,1,1.47368398075711
16,"PRKG1",0.226042750904068,0.226042750904068,27,"Tau Kinases",TRUE,1,1.46878031440714
17,"NOTCH1",0.286690317411832,0.286690317411832,40,"Astrocyte Activation",FALSE,1,1.38403870089572
18,"IGF1R",0.26469728386832,0.26469728386832,54,"Growth Factor Signaling",FALSE,1,1.37894927259234
19,"GSK3B",-0.137600705063026,-0.137600705063026,165,"Tau Kinases",TRUE,2,1.37165559170531
20,"YWHAZ",0.591482677882234,0.591482677882234,9,"Others",FALSE,1,1.36193919685583
21,"PDPK1",-0.204982020581694,-0.204982020581694,29,"Tau Kinases",TRUE,1,1.35950940779603
22,"NRXN1",0.352234532929824,0.305389749801058,46,"Others",FALSE,3,1.35615494219923
23,"STMN2",0.529563145165625,0.529563145165625,6,"Synaptic Proteins",FALSE,1,1.33962698836647
24,"SYK",-0.182169239030304,-0.182169239030304,41,"Microglia / Immune",TRUE,1,1.32773243871327
25,"HSP90AA1",0.329056186376906,0.329056186376906,20,"Tau Folding/Stability",FALSE,1,1.30236462550505
26,"MAPK14",0.138969766421931,0.138969766421931,120,"Tau Kinases",TRUE,1,1.29961628926366
27,"CRK",0.452917550196321,0.452917550196321,16,"Others",FALSE,1,1.28321204697347
28,"YWHAH",0.499176054173837,0.499176054173837,6,"Synaptic Proteins",FALSE,2,1.26275727497693
29,"GAP43",0.540813278862078,0.540813278862078,5,"Synaptic Proteins",FALSE,1,1.25970950753102
30,"EGFR",0.209755104594806,0.209755104594806,93,"Growth Factor Signaling",FALSE,1,1.23887305393811
31,"INSR",0.221338736720684,0.221338736720684,71,"Growth Factor Signaling",FALSE,1,1.23056943900691
32,"CSNK2A1",-0.202332293215371,-0.202332293215371,104,"Tau Kinases",FALSE,1,1.22414041123502
33,"MAP2K1",0.315850806802691,0.315850806802691,18,"Growth Factor Signaling",FALSE,1,1.20900445529632
34,"IKBKB",0.327177735848049,0.327177735848049,39,"Others",FALSE,1,1.20691922761339
35,"MAPK10",0.253724393892258,0.253724393892258,34,"Tau Kinases",FALSE,1,1.17270209157064
36,"PRKCZ",-0.168264736432556,-0.168264736432556,30,"Tau Kinases",TRUE,1,1.12674695615715
37,"EPHA3",0.345373524735927,0.345373524735927,24,"Others",FALSE,1,1.111714489322
38,"HSP90AB1",0.35093016358403,0.35093016358403,10,"Tau Folding/Stability",FALSE,1,1.09394191444266
39,"SLIT2",0.524393627020544,0.524393627020544,7,"Others",FALSE,1,1.09044589221868
40,"ALK",0.309903979647461,0.309903979647461,9,"Others",TRUE,1,1.07037042569366
41,"DNM1",0.395051043757419,0.395051043757419,7,"Cytoskeleton / Axonal Transport",FALSE,1,1.0679312169151
42,"ERBB2",-0.210025435404574,-0.210025435404574,48,"Growth Factor Signaling",FALSE,1,1.06259562841516
43,"FGFR1",0.21921525768188,0.21921525768188,39,"Growth Factor Signaling",FALSE,1,1.05125625811827
44,"FLT1",0.278844038201627,0.278844038201627,17,"Growth Factor Signaling",FALSE,2,1.04775181273841
45,"DYRK1A",0.202008164622452,0.202008164622452,13,"Tau Kinases",TRUE,1,1.03956669860357
46,"NTRK2",0.296507079648355,0.296507079648355,13,"Synaptic Proteins",FALSE,1,1.01724893637745
47,"PTPRD",0.319264431529645,0.319264431529645,23,"Others",FALSE,1,1.01463954951665
48,"AMPH",0.487430923338457,0.487430923338457,7,"Others",FALSE,1,1.01358411068935
49,"YWHAE",0.559850361178882,0.559850361178882,3,"Synaptic Proteins",FALSE,1,1.00895261840518
50,"CAMK2A",0.149140214960566,0.149140214960566,31,"Tau Kinases",TRUE,1,1.0079171652032
51,"GLO1",0.405391745009042,0.405391745009042,11,"Others",FALSE,1,1.00736064294213
52,"PTPN11",0.251323158276221,0.251323158276221,51,"Others",FALSE,2,0.993039050472964
53,"MAP1LC3B",0.451602375295693,0.451602375295693,8,"Others",FALSE,1,0.992271838183112
54,"CAPN2",0.263864078900862,0.263864078900862,11,"Others",TRUE,1,0.983516406451406
55,"PEBP1",0.502812359896117,0.502812359896117,6,"Others",FALSE,1,0.978427674192306
56,"EFNB3",0.347872078969661,0.347872078969661,15,"Others",FALSE,1,0.96450620293339
57,"PIK3R1",-0.221815756555052,-0.221815756555052,27,"Growth Factor Signaling",FALSE,1,0.960876103746872
58,"CRKL",0.460089622141023,0.460089622141023,7,"Others",FALSE,1,0.956729473175822
59,"ERBB3",0.227177446400357,0.227177446400357,24,"Growth Factor Signaling",FALSE,1,0.950632787225421
