"EntrezGeneSymbol","rho_median","rho_mean","n_proteins","best_protein","Category1","Category2"
"A1CF",0.146340406330727,0.146340406330727,1,"A1CF","Others",NA
"A2M",0.107707296016817,0.107707296016817,1,"A2M","Others",NA
"A2ML1",-0.0992351583420251,-0.0992351583420251,1,"A2ML1","Others",NA
"A4GNT",0.117803409941346,0.117803409941346,1,"A4GNT","Others",NA
"AACS",0.132614736902777,0.132614736902777,1,"AACS","Others",NA
"AAGAB",0.402217914189363,0.402217914189363,1,"AAGAB","Others",NA
"AAMDC",0.0992672320671638,0.0992672320671638,1,"AAMDC","Others",NA
"AARS1",0.148421656114551,0.148421656114551,1,"AARS1","Others",NA
"AASDHPPT",0.236808251443305,0.236808251443305,1,"AASDHPPT","Others",NA
"ABCF3",-0.121357471870929,-0.121357471870929,1,"ABCF3","Others",NA
"ABHD10",-0.150441247837081,-0.150441247837081,1,"ABHD10","Others",NA
"ABHD12",-0.102184622643877,-0.102184622643877,1,"ABHD12","Others",NA
"ABL2",0.1153850597292,0.1153850597292,1,"ABL2.3342.76","Others",NA
"ABO",-0.0938019750193311,-0.0938019750193311,1,"ABO","Others",NA
"ABR",0.26083706133014,0.26083706133014,1,"ABR","Others",NA
"ACAA1",0.122502618682023,0.122502618682023,1,"ACAA1","Others",NA
"ACAD8",0.118085806811035,0.118085806811035,1,"ACAD8","Others",NA
"ACADS",0.267234429710073,0.267234429710073,1,"ACADS","Others",NA
"ACADSB",0.111834992263981,0.111834992263981,1,"ACADSB","Others",NA
"ACADVL",-0.157599515386517,-0.157599515386517,1,"ACADVL","Others",NA
"ACAN",0.235511702684248,0.235511702684248,1,"ACAN","Others",NA
"ACAP2",-0.230977920073222,-0.230977920073222,1,"ACAP2","Others",NA
"ACBD4",-0.206616300399927,-0.206616300399927,1,"ACBD4","Others",NA
"ACBD7",0.282635463134605,0.282635463134605,1,"ACBD7","Others",NA
"ACE",0.188030744581059,0.188030744581059,1,"ACE","Others",NA
"ACHE",0.25477156053535,0.25477156053535,1,"ACHE.10980.11","Others",NA
"ACO1",0.214747947192468,0.214747947192468,1,"ACO1","Metabolism",NA
"ACOT8",0.104473347330348,0.104473347330348,1,"ACOT8","Others",NA
"ACOX1",0.107132500894136,0.107132500894136,1,"ACOX1","Others",NA
"ACP3",0.134280253758909,0.134280253758909,1,"ACP3","Others",NA
"ACP5",0.240958791911951,0.240958791911951,1,"ACP5","Others",NA
