"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Module","Source","Module_Size","tau_related"
"GO:0071375","cellular response to peptide hormone stimulus","40/549","345/18860",0.115942028985507,3.98299939283546,9.68256286738061,9.2483011900745e-14,2.61918212850065e-10,1.77610403970815e-10,"MDM2/AKT1/PDPK1/AKT2/RAF1/PRKCI/PRKCZ/MAPK3/MAPK1/STAT1/GSK3B/PPARG/GSK3A/STAT6/PRKCB/CFL1/CAMK2A/AKT3/HNF4A/RPS6KB1/PRKCQ/NR1H4/RAP1GDS1/GSTP1/YWHAG/NCL/PIK3C2A/TSC2/FOXO4/USF1/GCK/EEF2K/PIP4K2B/NDEL1/AHCYL1/PRKAR1A/FOXC2/GHRL/SYAP1/PKLR",40,1,"GO_BP",554,FALSE
"GO:0006979","response to oxidative stress","44/549","418/18860",0.105263157894737,3.61614418560061,9.36559296517721,1.61930469503994e-13,2.61918212850065e-10,1.77610403970815e-10,"MDM2/PRKN/PARK7/AKT1/DAPK1/MAPK8/MAP2K1/CHEK2/STAT1/MYB/FOXO3/BCL2/CFL1/PCNA/MAPK9/PML/BLVRA/PPARGC1A/HSPA1A/MAPK13/PPIF/SOD1/GSTP1/CRYAA/S100A7/PKD2/HSPA1B/PRDX1/NOS3/FOXO4/MAPT/SOD2/AMBP/PRDX3/MPO/HMOX1/AIFM1/IDH1/NUDT1/NFE2L1/TXNIP/CYGB/PRDX6/RHOB",44,1,"GO_BP",554,FALSE
"GO:0062197","cellular response to chemical stress","39/549","335/18860",0.116417910447761,3.99934752467172,9.59090425124149,1.67004173974537e-13,2.61918212850065e-10,1.77610403970815e-10,"MDM2/PRKN/PARK7/AKT1/DAPK1/PRKCI/MAPK8/BAD/MYB/FOXO3/CFL1/PCNA/MAPK9/PML/PPARGC1A/HSPA1A/ARHGEF2/MAPK13/PPIF/SOD1/CAPN3/XRCC6/PKD2/HSPA1B/PRDX1/NOS3/RELB/FOXO4/MAPT/SOD2/AMBP/PRDX3/MPO/EFHD1/AIFM1/RCSD1/NFE2L1/CYGB/RHOB",39,1,"GO_BP",554,FALSE
"GO:0032869","cellular response to insulin stimulus","31/549","219/18860",0.141552511415525,4.86280576556795,9.95588327759189,3.02933551375543e-13,2.85430445915266e-10,1.93554378112684e-10,"AKT1/PDPK1/AKT2/RAF1/PRKCI/PRKCZ/MAPK3/MAPK1/STAT1/GSK3B/PPARG/GSK3A/PRKCB/AKT3/RPS6KB1/PRKCQ/NR1H4/GSTP1/YWHAG/NCL/PIK3C2A/TSC2/FOXO4/USF1/GCK/EEF2K/PIP4K2B/NDEL1/FOXC2/SYAP1/PKLR",31,1,"GO_BP",554,FALSE
"GO:0000302","response to reactive oxygen species","30/549","205/18860",0.146341463414634,5.02732240437158,10.0388779246971,3.03326722545447e-13,2.85430445915266e-10,1.93554378112684e-10,"MDM2/PARK7/AKT1/MAPK8/STAT1/MYB/FOXO3/BCL2/CFL1/PCNA/MAPK9/MAPK13/PPIF/SOD1/GSTP1/CRYAA/S100A7/PKD2/PRDX1/NOS3/MAPT/SOD2/AMBP/PRDX3/MPO/HMOX1/AIFM1/TXNIP/CYGB/RHOB",30,1,"GO_BP",554,FALSE
"GO:0006913","nucleocytoplasmic transport","39/549","350/18860",0.111428571428571,3.82794691647151,9.24680154731199,6.80940372662966e-13,4.57689207625608e-10,3.10365454066384e-10,"MAPK14/MDM2/PARK7/AKT1/GSK3B/TRIM28/CFL1/KPNA2/ELAVL1/CDKN1A/PML/STK4/RANBP3/YWHAB/PPP1CC/PPP3R1/STK3/YWHAE/CAMK1/FMR1/NPM1/SFN/DHX9/HSPA9/FLNA/CDKN1B/TSC2/IER3/PHB2/XPO5/MED1/AHCYL1/RAN/TXNIP/NUP98/SSB/BACH2/NCBP1/THOC1",39,1,"GO_BP",554,FALSE
"GO:0051169","nuclear transport","39/549","350/18860",0.111428571428571,3.82794691647151,9.24680154731199,6.80940372662966e-13,4.57689207625608e-10,3.10365454066384e-10,"MAPK14/MDM2/PARK7/AKT1/GSK3B/TRIM28/CFL1/KPNA2/ELAVL1/CDKN1A/PML/STK4/RANBP3/YWHAB/PPP1CC/PPP3R1/STK3/YWHAE/CAMK1/FMR1/NPM1/SFN/DHX9/HSPA9/FLNA/CDKN1B/TSC2/IER3/PHB2/XPO5/MED1/AHCYL1/RAN/TXNIP/NUP98/SSB/BACH2/NCBP1/THOC1",39,1,"GO_BP",554,FALSE
"GO:0043434","response to peptide hormone","45/549","461/18860",0.0976138828633406,3.3533658120266,8.85793041338979,1.22661894102244e-12,7.21405264688825e-10,4.89195001347241e-10,"MAPK14/MDM2/AKT1/PDPK1/AKT2/PRKCG/RAF1/PRKCI/PRKCZ/MAPK3/MAPK1/STAT1/GSK3B/PPARG/GSK3A/STAT6/PRKCB/CFL1/CAMK2A/AKT3/HNF4A/RPS6KB1/PRKCQ/NR1H4/JUND/RAP1GDS1/GSTP1/YWHAG/NCL/PIK3C2A/TSC2/FOXO4/USF1/GCK/EEF2K/NEFL/PIP4K2B/NDEL1/AHCYL1/SRSF6/PRKAR1A/FOXC2/GHRL/SYAP1/PKLR",45,1,"GO_BP",554,FALSE
"GO:0048545","response to steroid hormone","38/549","343/18860",0.110787172011662,3.80591268513651,9.0808263392725,1.62265997190691e-12,8.48290574202445e-10,5.752377046608e-10,"ZFP36/MDM2/PRKN/PARK7/KRAS/MAP2K1/KMT2D/FOXO3/GSK3A/BCL2/PCNA/YAP1/CEBPA/RPS6KB1/HSPA1A/RXRA/NR3C1/NR3C2/YWHAH/JUND/UBE2L3/HMGB1/SKP2/PPP1R9B/GSTP1/EGLN2/HSPA1B/SCGB2A1/ESRRA/AIFM1/NEFL/PHB2/PGR/MED1/RAN/IDH1/TXNIP/CLDN1",38,1,"GO_BP",554,FALSE
"GO:0061136","regulation of proteasomal protein catabolic process","29/549","209/18860",0.138755980861244,4.76673551738263,9.4814919425272,2.97747818141636e-12,1.4009034843564e-09,9.4997224924979e-10,"MDM2/PRKN/PARK7/AKT1/PRKCG/MAPK3/GSK3B/GSK3A/BAG2/STUB1/MAPK9/PSME3/RPL11/ARAF/CEBPA/HSPA1A/CSNK1D/RAD23B/PBK/FMR1/VCP/HSPA1B/ATXN3/NUB1/NFE2L1/USP14/NKD2/USP19/UBQLN2",29,1,"GO_BP",554,FALSE
