"EntrezGeneSymbol","rho_median","Category1","is_MAPT","priority_score","DX"
"MAPK8",0.358694687413283,"Tau Kinases",TRUE,2.50650895066473,"CN"
"PRKCG",0.375767856198385,"Tau Kinases",TRUE,1.52370521590345,"CN"
"NRXN1",0.394357916107611,"Others",FALSE,1.20063152408347,"CN"
"PRKG1",0.231591024391678,"Tau Kinases",TRUE,1.0828954940921,"CN"
"RAF1",0.388757421120465,"Growth Factor Signaling",FALSE,1.05091783044848,"CN"
"AKT1",0.236805890401805,"Growth Factor Signaling",FALSE,0.990923382540986,"CN"
"EPHB2",0.329973309839082,"Others",FALSE,0.988511693696367,"CN"
"EFNB3",0.364528336111403,"Others",FALSE,0.98716103391394,"CN"
"EFNB2",0.33685558636635,"Others",FALSE,0.973637873322849,"CN"
"EFNB1",0.341450507175669,"Others",FALSE,0.967402133264867,"CN"
"MAPK8",0.433933077723761,"Tau Kinases",TRUE,3.6865141363278,"EMCI"
"PRKCB",0.398229175911025,"Tau Kinases",TRUE,3.19228632684762,"EMCI"
"PRKCG",0.588036190354573,"Tau Kinases",TRUE,2.84936932746976,"EMCI"
"RPS6KA3",-0.305540276980849,"Tau Kinases",TRUE,2.52269564465307,"EMCI"
"GSK3B",-0.262979553867436,"Tau Kinases",TRUE,2.47600819550715,"EMCI"
"AKT1",0.430948469630747,"Growth Factor Signaling",FALSE,2.3121569213543,"EMCI"
"RAF1",0.582757225625374,"Growth Factor Signaling",FALSE,2.30648268391047,"EMCI"
"STMN1",0.606723459404782,"Synaptic Proteins",FALSE,2.08153139036923,"EMCI"
"PIN1",0.539600850154931,"Tau Folding/Stability",TRUE,2.04752880297294,"EMCI"
"GRB2",0.48943193051475,"Growth Factor Signaling",FALSE,1.96671133782527,"EMCI"
"MAPK8",0.466834693372834,"Tau Kinases",TRUE,4.0225927953981,"LMCI"
"PRKCB",0.502802882649646,"Tau Kinases",TRUE,4.01436408447004,"LMCI"
"PRKCG",0.670130222463375,"Tau Kinases",TRUE,3.44859854700791,"LMCI"
"RPS6KA3",-0.388205091954116,"Tau Kinases",TRUE,3.26833819674602,"LMCI"
"GSK3B",-0.340776329636264,"Tau Kinases",TRUE,3.23454402258843,"LMCI"
"CSNK2A1",-0.516941028572626,"Tau Kinases",FALSE,2.95317238583442,"LMCI"
"MAPK1",0.340571773139594,"Tau Kinases",TRUE,2.93461814298613,"LMCI"
"EGFR",0.519913185024417,"Growth Factor Signaling",FALSE,2.86177813809909,"LMCI"
"IGF1R",0.573982637004883,"Growth Factor Signaling",FALSE,2.73366700681808,"LMCI"
"AKT1",0.494917009934293,"Growth Factor Signaling",FALSE,2.71479797789261,"LMCI"
"PRKCB",0.394023409465195,"Tau Kinases",TRUE,2.33924556665489,"AD"
"NRXN1",0.415925776385606,"Others",FALSE,1.47876090279604,"AD"
"PRKCG",0.437230527143981,"Tau Kinases",TRUE,1.37220600437519,"AD"
"PPP3R1",0.501759255772367,"Tau Phosphatases",TRUE,1.35639275248804,"AD"
"IGF1R",0.365423076984051,"Growth Factor Signaling",FALSE,1.25368418464292,"AD"
"EPHB2",0.361000074932805,"Others",FALSE,1.06294269211416,"AD"
"FGFR3",0.379572587840891,"Growth Factor Signaling",FALSE,1.02608870941105,"AD"
"RAF1",0.376623926576587,"Growth Factor Signaling",FALSE,1.01811767006811,"AD"
"EFNA5",0.35669551534225,"Others",FALSE,0.98896996311143,"AD"
"EFNA2",0.362278520849725,"Others",FALSE,0.981068421242108,"AD"
