"Gene","CN","EMCI","LMCI","AD","n_DX"
"PIN1",TRUE,TRUE,TRUE,TRUE,4
"PPP3R1",TRUE,TRUE,TRUE,TRUE,4
"PRKCG",TRUE,TRUE,TRUE,TRUE,4
"CAPN2",TRUE,TRUE,TRUE,TRUE,4
"MAPK8",TRUE,TRUE,TRUE,FALSE,3
"PRKG1",TRUE,TRUE,TRUE,FALSE,3
"ALK",FALSE,TRUE,TRUE,TRUE,3
"PRKCB",FALSE,TRUE,TRUE,TRUE,3
"GSK3B",FALSE,TRUE,TRUE,FALSE,2
"MAPK1",FALSE,TRUE,TRUE,FALSE,2
"DYRK1A",FALSE,TRUE,TRUE,FALSE,2
"PRKCI",FALSE,TRUE,TRUE,FALSE,2
"MAPK13",FALSE,TRUE,TRUE,FALSE,2
"ALPL",FALSE,TRUE,TRUE,FALSE,2
"PRKCZ",FALSE,TRUE,TRUE,FALSE,2
"PDPK1",FALSE,TRUE,TRUE,FALSE,2
"RPS6KA3",FALSE,TRUE,TRUE,FALSE,2
"SYK",FALSE,TRUE,FALSE,FALSE,1
"CAMK2A",FALSE,TRUE,FALSE,FALSE,1
"MAPK11",FALSE,TRUE,FALSE,FALSE,1
"CAPN3",FALSE,TRUE,FALSE,FALSE,1
"MAPK14",FALSE,TRUE,FALSE,FALSE,1
"PTEN",FALSE,FALSE,TRUE,FALSE,1
"APOE",FALSE,FALSE,TRUE,FALSE,1
"ABL2",FALSE,FALSE,TRUE,FALSE,1
"RPS6KB1",FALSE,FALSE,TRUE,FALSE,1
